dossier,PDF link,type of study,guideline,absorption,distribution,metabolism,excretion,level in urine,level in faeces,level in blood/plasma,level in skin ,level in carcass/tissues,overall recoveries,exposure C max,exposure T max,exposure AUC,half-life absorption,half-life elimination,exposure other,statistical variation,signs of toxicity,"interpretation, discussion and result",conclusion,species/strain,source,age at start of experiment,"age unit (day, week, month, year)",weight,weight unit,"sex ( female, male)",feeding and housing,n subject / group,formulation and justification of use,details of preparation,amount applied,achieved concentration,vehicle,stability and homogenity,pH,solid,liquid,purity (%),chemical batch nr,additional info,purity %,batch number,specific activity,dose levels,dose level unit,volume,extraction,detection,"route (oral, dermal, iv, ip, other)","scheme (single, repeated, other)",surface & site condition,"dermal patching technic (non occlusive, semi-occlusive, occlusive)","period of exposure (minutes, hour, day, month, year)","tape stripping, removing, washing",samples,timing of the study,vehicle name,vehicle concentration,SCCS comment to test,year,GLP,klimisch score,Ref. in dossier,additional info,own comment
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,"Boron was measured in the urine. It was concluded that 0.23 + 0.13 % boric acid, 0.21 + 0.19 % sodium tetraborate decahydrate , and 0.12 + 0.11 DOT of the applied dose were absorbed.",,,,,,,,,"The total recovery of the applied dose ranged from 48.8 - 63.6%, therefore 36.4-51.2% of the applied dose is not accounted for.",,,,,,,,,"The authors suggested that this may be due to loss to outside clothing and bedding. However, part of the lost dose may be located in the body or in the skin at the application site, which in that case should be considered as being absorbed.","In both humans and animals, boron is excreted in the urine regardless of the route of administration. . It is excreted with a half-life of < 24 hours in humans and animals.",human / volunteers,,,,,,,,8,10B enriched boric acid or sodium tetraborate decahydrate (5% in aqueous solution) or disodium octaborate tetrahydrate (DOT) (10% in aqueous solution).,,,,,,,,,,,"test substance: boric acid, borax and octaborate tetrahydrate",,,,,,,,,dermal,,900cm2 on the back ,non-occluded,24h,after the exposure the residual  dose was removed by washing,,,,,"No dermal absorption studies have been performed according to modern guidelines. During Meetings of the Commission Working Group on the Classification and Labelling of Dangerous Substances it has been stated several times that human skin absorption is less than 0.3%, but may be higher in damaged skin. In the SCCNFP Opinion concerning boric acid, borates and tetraborates adopted 23 September 1998 (SCCNFP/0024/98) the percutaneous absorption was considered to be about 0.2%. The SCCS considers that the available measurements of dermal absorption have a significant degree of uncertainty. Therefore an absorption of 0.5% will be used in the safety evaluation for the boric compounds discussed in this Opinion (representing the absorption of boric acid + 2 x SD [0.23 + 2 x 0.13%] from the study of Wester et al., 1998). This is in agreement with other recent risk assessment of borates in EU (EU, 2009a, ECHA, 2010). It should be noted that skin absorption is probably higher in case of damaged skin. The dermal absorption of disodium octaborate tetrahydrate was slightly lower than that for the other boron compounds, however the octaborate was applied at a higher concentration, and the percentage of absorption would probably be higher if lower concentrations had been used. Absorption for oral and inhalation routes are assumed to be 100% (ECHA, 2010)",1998,,,Wester et al.,,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,Boron is readily absorbed following oral exposure in both humans and animals (>90%). Studies in male mine workers and rats have shown that boron is also absorbed during inhalation exposure,"Studies suggest that boric acid and borate compounds in the body exist primarily as undissociated boric acid, which distributes evenly throughout the soft tissues of the body, but shows some accumulation in bone. Borates are distributed rapidly and evenly through the body, with concentrations in bone 2 - 3 higher than in other tissues.",There is no evidence that boron compounds are metabolized in the body. Boric acid is not further metabolised,"More than 90% of an orally administered dose of boron as boric acid is excreted in a short time in both humans and in animals.  Boron is excreted rapidly, with elimination half-lives of 1h in the mouse, 3h in the rat and < 27.8 h in humans, and has low potential for accumulation. Boric acid is mainly excreted in the urine. ",,,,,,,,,,,,,,,,"In both humans and animals, boron is excreted in the urine regardless of the route of administration. . It is excreted with a half-life of < 24 hours in humans and animals.",human & rat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oral & inhalation,,,,,,,,,,,,,,,,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,,,"Because of the extent to which boron’s residence time in the body and pharmacokinetic profile are influenced by urinary elimination, a more thorough investigation of the urinary clearance of boron has been undertaken to determine the difference in the urinary clearance of boron in pregnant and nonpregnant rats and humans.",,,,,,,,,,,,,,,"Reports from studies (U.S. Borax, 2000; Pahl et al., 2001; Vaziri et al., 2001) indicated that the renal clearance of boron from female rats was greater than in humans, and that pregnant rats and pregnant women cleared boron slightly more efficiently than nonpregnant rats and women. The magnitude of the difference (rat:human) between average clearance values was approximately 3.6-fold and 4.9-fold for pregnant and nonpregnant individuals, respectively, in close agreement with differences in kinetic parameters predicted by allometric scaling (approximately 4-fold). The variance of boron clearance in humans was slightly greater than in rats (0.35%), but the coefficient of variation was 4-fold higher in humans than in rats. Overall, the available pharmacokinetic data support a high degree of qualitative similarity (lack of metabolism, highly cleared through renal filtration mechanisms, and apparently consistent extravascular distribution characteristics) between the relevant experimental species and humans.",,human pregnant and non pregnanat & rat ,,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Borax, 2000; Pahl et al., 2001; Vaziri et al., 2001",,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,,,"After accidental boric acid uptake in 9 patients, the mean half-life of boric acid was determined to be 13.4 hours (range, 4.0 to 27.8)",,,,,,,,,,,13.4h,,,,,"In both humans and animals, boron is excreted in the urine regardless of the route of administration. It is excreted with a half-life of < 24 hours in humans and animals.",human/patient,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,,,"Litovitz et al.,",,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,There is no substantiated evidence of boron accumulation in humans or other animals although bone contains higher levels than other tissues and boron is slowly eliminated from bone,,,,,,,,,,,,,,,,,,"In both humans and animals, boron is excreted in the urine regardless of the route of administration. . It is excreted with a half-life of < 24 hours in humans and animals.",human,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,,,Chapin et al.,,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,A poisoning case with boric acid in a pregnant woman suggested that borates might cross the placenta,,,,,,,,,,,,,,,,,"The foetus was delivered early due to accidental poisoning of the mother with boric acid. However, since no boric acid fetal blood or amniotic fluid concentrations were measured, it is not possible to definitely conclude that boric acid passed the placenta. No information was presented on possible reproduction parameters.",,human / pregnant,,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,,,Grella et al.,,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,,,"more than 50 % of the oral dose was eliminated in the first 24 hours, consistent with the 21 hour half-life in the i.v. study.",94%,,,,,,,,,,,,,,,,,,,,,,,,,aqueous solution of boric acid ,,,,,,,,,,,,,,,,,,,,oral,,,,,,,,,,,1984,,,Jansen et al.,,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,,,,,8%,,,,,,,,,,,,,,Sutherland et al. (1998) showed in a boron balance study that only 8% of dietary boron is excreted in faeces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,Sutherland et al.,,
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,,boron concentrated in seminal fluid. no significant correlations were found between blood or urine boron and adverse semen parameters.,,,,,"blood boron averaged 499.2 ppb for boron workers, 96.1 and 47.9 ppb for workers from high and low environmental boron areas (p < 0.0001).",,,,,,,,,,,,"boron exposure/dose data were measured in workplace inhalable dust, dietary food/fluids, blood, semen, and urine from boron workers and controls. correlations between boron and semen parameters (total sperm count, sperm concentration, motility, morphology, dna breakage, apoptosis and aneuploidy) were assessed.",exposures did not reach those causing adverse effects published in animal toxicology work but exceeded those previously published for boron occupational groups.,human / workers,,,,,,,,"66, 59, 67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCCS notes that in the high exposure group, the dose was about 20% of the noael for reproductive effects in the rat. for the general population, the greatest exposure to boron comes from food. the mean daily intake of boron in the diet is assumed to be near 1.2 mg per day (who, 1998). vegetarian diets (nielsen, 1992) and consumption of wine and mineral water could raise boron intake (who, 1998). to derive a tolerable upper intake level (ul) of boron (sodium borate and boric acid), the noael for decreased foetal weight in rats (9.6 mg/kg bw/day) was extrapolated to humans by dividing by an uncertainty factor of 60 (to allow for variability between rats and humans and between-person variability in humans), giving an ul of 0.16 mg/kg bw/day, which is equivalent to an ul of 10 mg boron/person/day in adults. this ul also applies to pregnant and lactating women. ul values for children were derived by extrapolating from the ul for adults on a body surface area basis, giving values (mg/day) of 3, 4, 5, 7, and 9 mg boron/person/day for children aged 1-3, 4-6, 7-10, 11-14 and 15-17 years of age, respectively. these ul values apply only to the intake of boron as boric acid and borates (efsa, 2004). data on boron intake in eu countries are limited. in the uk mean intake in adults from food is estimated at 1.5 mg/day, with the 97.5 percentile of 2.6 mg/day, while mean intake from water is estimated to be in the range of 0.2-0.6 mg/day. the main dietary sources of boron are plant foods, and foods rich in boron include fruits, leafy vegetables, mushrooms, nuts and legumes, as well as wine, cider and beer (efsa, 2004). ",2010,,,Robbins et al.,"three groups were established; boron workers (n = 66), community comparison (n = 59), and control comparison (n = 67).",
boron compounds,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_027.pdf,in vivo,non OECD,, ,,,,,,,,,,,,,,,,,"a recent study of nearly 1000 men working in boron mining or processing in liaoning province in northeast china has been published in several chinese and a few english language papers. the study included individual assessment of boron exposure, interview data on reproductive experience and semen analysis. employed men living in the same community and in a remote community were used as controls. boron workers (n = 75) had a mean daily boron intake of 31.3 mg b/day, and a subset of 16 of these men, employed at a plant where there was heavy boron contamination of the water supply, had an estimated mean daily boron intake of 125 mg b/day. estimates of mean daily boron intake in local community and remote background controls were 4.25 mg b/day and 1.40 mg/day, respectively. reproductive outcomes in the wives of 945 boron workers were not significantly different from outcomes in the wives of 249 background control men after adjustment for potential confounders. ","there were no statistically significant differences in semen characteristics between exposure groups, including in the highly exposed subset, except that sperm Y:X ratio was reduced in boron workers. within exposure groups the Y:X ratio did not correlate with the boron concentration in blood, semen and urine. in conclusion, while boron has been shown to adversely affect male reproduction in laboratory animals, there is no clear evidence of male reproductive effects attributable to boron in studies of highly exposed workers. ",human /workers,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,no,,scialli et al.,,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/system/files/2021-08/sccs_o_213_0.pdf,in vivo,non OECD,,,"the peak amounts of the 4 metabolites were excreted between 3 and 6h after oral p-bmhca application. the primary metabolites lysmerol (2) and lysmerylic acid (3) appeared slightly earlier in the urine than the secondary metabolites hydroxyl-lysmerylic acid (9) and tbba (4). after 48h, the urinary excreted metabolites of p-bmhca are dominated by tbba (4) representing about 14.3% of the administered dose, followed by lysmerol (2), yielding 1.82% of the dose after 48 h. hydroxy-lysmerylic acid (9) and lysmerylic acid (3) represented only 0.20% and 0.16% of the dose, respectively. in total, the 4 metabolites represented about 16.5% of the dose. ","after 12 and 24h more than 90 and 97%, respectively, of the p-bmhca metabolites were excreted in the urine. the authors regarded excretion of these metabolites as complete by 48h after the oral intake. average times for peak excretion (tmax) were 2.2 h and 4.64 h for lysmerol (2) and tbba (4) and 3.1 h for both lysmerylic acid (3) and hydroxyl-lysmerylic acid (9). after 24 h, between 95% (tbba) and 99% (lysmerol) were excreted. the elimination half-lives (t½) were found to be lower for the primary metabolites lysmerol (2) and lysmerylic acid (3) (1.19 h and 1.25 h, respectively) than for the secondary metabolites hydroxyl-lysmerylic acid (9) and tbba (4) (1.39 h and 1.40 h, respectively). volunteers CF values were applied to 40 urine samples collected by subjects of the general population. creatinine standardised urinary p-bmhca metabolite levels were used for back calculation of the uptake dose. the cf derived with the molar sum of all four metabolites (2 + 3 + 9 + 4) yielded a median uptake dose of 224 μg/d.",,,,,,,,,,,,,,,,"conclusion: this explorative metabolism study confirmed that tbba, lysmerol, lysmerylic acid and hydroxyl-lysmerylic acid are major urinary p-bmhca metabolites in humans. therefore, they can be considered as possible biomarkers for assessing exposure in human biomonitoring studies. while tbba is quantitatively the most dominant p-bmhca metabolite in urine, its specificity might be hampered by other sources of tbba apart from p-bmhca. the three other metabolites, carrying the full p-bmhca backbone, are considered as specific to p-bmhca representing about 2% of the oral dose. peak excretion for all metabolites occurred between 2 and 5h after oral application, with the primary metabolites (lysmerol and lysmerylic acid) being excreted about 1h earlier than the secondary metabolites (hydroxylated lysmerylic acid and tbba). more than 90% of all measured lysmeral metabolites were excreted after 12h, with the renal excretion being virtually complete after 48h. after this time period, tbba, lysmerol, lysmerylic acid and hydroxyl-lysmerylic acid represent on average 14.3, 1.82, 0.20 and 0.16%, respectively, of the dose administered. in total, the 4 metabolites determined represent about 16.5% of the dose. back-calculation of the exposure dose in 40 adult subjects from the general population resulted in median daily doses of 140–220 μg/d p-bmhca, depending on the inclusion or exclusion of tbba in the combined urinary conversion factors.",human : healthy volunteer ,,23 – 32,y,,,f & m,,5,,,,,,,,,,no data,no data,test substances: p-BMHCA,,,,5.26 ,mg/volunteer ( equivalent to 25.7µM),1mL,,,oral,single,,,,,urine samples: immediately prior to exposure up to 48h after exposure,,ethanol,,,2016,no,,"Scherer et al., SMII: 22","5 healthy volunteers (3 females, 2 males). procedure: 52.6 mg p-bmhca dissolved in ethanol using a 10 ml volumetric flask. each volunteer received a chocolate-coated edible waffle cup containing 1 me spiked ethanol (exact 5.26 mg p-bmhca, equivalent to 25.7 μm) and approximately 20 ml coffee, milk or water, depending on the choice of the volunteers; material and methods: the metabolism and excretion kinetics of p-bmhca was investigated in an explorative study in human volunteers after application of a single oral dosage. the study was performed in accordance with the ethical standards of the declaration of helsinki (1964) and was approved by the ethics commission of the Ruhr university Bochum (reg. no.:5105-14). the primary intention of this investigation was to develop a human biomonitoring method (hbm) including identification of suitable biomarkers of exposure in human urine and basic toxicokinetics. in addition, urinary conversion factors (cf) were deduced from the toxicokinetics results to allow the back-calculation of the exposure doses of p-bmhca from urinary metabolite levels of the 40 adult volunteers. five healthy subjects (3 females, 2 males) were orally dosed once with p-bmhca. each volunteer received a chocolate-coated edible waffle cup containing 1 ml spiked ethanol (exact 5.26 mg lysmeral, equivalent to 25.7 μmol) and approximately 20 ml coffee, milk or water, depending on the choice of the volunteers. urine was collected immediately before and for 48h after administration and frozen (< - 20°C) until analysis. the p-bmhca metabolites lysmerol, lysmerylic acid, hydroxylated lysmerylic acid and 4-tert-butylbenzoic acid (tbba) were determined in all urine samples by a newly developed uplc-ms/ms (ultra-high-pressure liquid chromatography combined with tandem mass spectrometry) method. the derived conversion factors (cf’s) were applied to spot urines samples of 40 health subjects (33 males, 7 females). the toxicokinetic variables for the urinary excretion of the p-bmhca metabolites were evaluated individually for each subject. where appropriate, means, standard deviations (sd) and medians were calculated. the amount of metabolites excreted after 3, 6, 12 and 24h were obtained by linear interpolation.",
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,non OECD,,,"Neither mortality nor clinical signs occurred. Upon application of BMHCA, no parent compound was detectable in any plasma sample of both rodent species afterwards. In the male rat, lysmerylic acid (M7) was detected in all plasma samples and highest plasma concentration was observed 4 hours after application of BMHCA or directly after application of M7. In mice, the highest plasma levels of M7 were observed directly after application of both BMHCA and M7. Toxicokinetics parameters for lysmerylic acid in rodents show no species difference, whereas some difference in the toxicokinetics after oral application of BMHCA between rat and mouse can be observed",,,,,,,,BMHCA: rat: 8.8µg/g; mouse: 18.4µg/g / Lysmerilic acid: rat: 29.4µg/g; mouse: 22.1µg/g,BMHCA: rat: 4h; mouse: directly after application i.e. 20 minutes/ Lysmerilic acid: rat: directly after application i.e. 10 minutes; mouse: directly after application i.e. 20 minutes,µg x h/g BMHCA: rat: 81.4; mouse: 85.1 / Lysmerilic acid: rat: 89.3; mouse: 106.7,,BMHCA: rat: 5.8h; mouse: 3.3h / Lysmerilic acid: rat: 3.6h; mouse: 4h,,,,,,rat / wistar; mouse / C57BL/6NCrl,,,,,,m,,5,,,,,,,,,,no data,no data,Test substance: BMHCA and lysmerylic acid (M7),,,,"0, 50",mg/kg bw,5 mL/kg bw,,,oral ,single,,,24h,,"Blood was taken retro-orbitally, 3 days prior to gavage, directly after the first oral application (i.e. 20 minutes for mice and 10 minutes for rats), as well as 2, 4, 8, and 24 hours after application and blood plasma was analysed for BMHCA and lysmerylic acid by HPLC/MS. ",,olive oil ,,"Quantitative data on the toxicokinetics of BMHCA are available from rat, mouse, rabbit, guinea pig, dog and rhesus monkey and human studies. Given its physicochemical properties, BMHCA is likely to have high bioavailability via the oral route. After oral and dermal administration to experimental animals and humans (cf. section 3.3.4.2.), there is clear evidence of systemic absorption of BMHCA. However, in humans compared to rats, only limited percutaneous absorption of BMHCA (in EtOH) could be observed in vivo (1.4% vs. 19%). Species-specific differences in the metabolism of BMHCA have been identified both in vitro and in vivo. Lysmerylic acid was the main hepatic metabolite in all species tested. Quantitative evaluation of metabolic profiles for different species in an in vitro metabolism study demonstrated much higher levels of TBBA formation by rat hepatocytes when compared to other species. In particular, TBBA levels observed in human hepatocytes were about 4-fold lower compared to rat hepatocytes at corresponding concentrations. Comparative assessment of the urinary metabolites in different animal species again uncovered differences in the urinary excretion of TBBA (and TBHA), with rats being the species that predominantly forms TBBA. However, the differences observed between rats and monkeys did not mirror the 4-fold difference in TBBA formation as seen with rat and human liver microsomes in vitro.",2006,no,,"BASF SE, 2006b, RIFM#53648",Guideline/Method: Explorative comparative oral screening study on plasma kinetics,
butylphenyl methylpropional (p-bmhca) ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,non OECD,,,,,"The main urinary metabolite in orally treated rats, dogs and monkeys was TBBA, in the guinea pigs and mice TBHA. The urinary TBBA levels in rats were detected in the range of 7 – 19% of the initial BMHCA dose applied. Corresponding levels in the two monkeys treated were 3 and 11% of the initial BMHCA dosis applied.",,,,,,,,,,,,,,,,rat; mouse; guinea pig; dog; monkey,,,,,,,,,,,,,,,,,,,,Test substance: BMHCA ,,,,50-400; 100; 45; ,"mg/kg bw/d rat ; mouse, guinea pig, monkey; dog",,,GC/MS,oral,daily sinfle for 5 days,,,,,urine was collected for 24 hours after the last bolus of oral administration (gavage) of BMHCA for 5 consecutive days,5 days,,,"Quantitative data on the toxicokinetics of BMHCA are available from rat, mouse, rabbit, guinea pig, dog and rhesus monkey and human studies. Given its physicochemical properties, BMHCA is likely to have high bioavailability via the oral route. After oral and dermal administration to experimental animals and humans (cf. section 3.3.4.2.), there is clear evidence of systemic absorption of BMHCA. However, in humans compared to rats, only limited percutaneous absorption of BMHCA (in EtOH) could be observed in vivo (1.4% vs. 19%). Species-specific differences in the metabolism of BMHCA have been identified both in vitro and in vivo. Lysmerylic acid was the main hepatic metabolite in all species tested. Quantitative evaluation of metabolic profiles for different species in an in vitro metabolism study demonstrated much higher levels of TBBA formation by rat hepatocytes when compared to other species. In particular, TBBA levels observed in human hepatocytes were about 4-fold lower compared to rat hepatocytes at corresponding concentrations. Comparative assessment of the urinary metabolites in different animal species again uncovered differences in the urinary excretion of TBBA (and TBHA), with rats being the species that predominantly forms TBBA. However, the differences observed between rats and monkeys did not mirror the 4-fold difference in TBBA formation as seen with rat and human liver microsomes in vitro.",1985,no,,"Roche, 1985, RIFM#56760. Comparative elimination study after oral application (no guideline study). ",,
decamethylcyclopentasiloxane,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,in vivo,non OECD,"the majority (about 85%) of the 14C-D5 volatilised from the skin surface. the dose site, which was washed prior to excision at 96 hours, contained 0.35% of the administered dose.  total radioactivity in excreta, carcass, and dose site, which was considered to be the amount absorbed, was 0.80 ± 0.62% (n=11) with a recovery of about 89%. ",,,,,"there were trace levels of 14c in faeces, CO2 traps, and tissues.",,,less than 1% of the dosed 14C was recovered in urine and carcass.,89%,,,,,,,,,,"according to the applicant, these data need to be evaluated cautiously due to unrecognized technical problems associated with working with this material at the time this study was conducted. ",rat/Sprague-dawley ,,,,,,f & m,,,,,,,,,,,,,,test substance: 14C-D5 ,,,,,,,,,dermal,,"clipped, dorsal surface ",non-occlusive,24h,"skin depot chamber (a teflon® gasket attached to the dosing site with cyanoacrylate glue, an activated charcoal trap, and a plastic cap with a hole to allow for air circulation) was covered with a non-occlusive elastic wrap.  At the termination of a 24-hour exposure period, animals were removed from the metabolism cages and the exposure site was washed. Animals were rewrapped with a fresh non occlusive bandage and returned to metabolism cages for continued collection of samples",,,,,"the objectives of this work were to examine the ability of D5 to penetrate through rat skin and to evaluate the usefulness of an in vitro absorption protocol designed for hydrophobic materials to assess skin penetration of a hydrophobic compound. an in vitro study was run concurrently for comparison and the results from this study have been reported (ref 34). the data demonstrate that for d5 under these test conditions, the in vitro system provides good concordance with in vivo data. ",,no,,75,"taken from sccs/1241/10. taken from sccs/1241/10. sccs general comment on dermal absorption: there is some variation in results of in vitro and in vivo studies with d5. in the in vitro study, an average of 0.04% of d5 (applied neat or in antiperspirant formulation) was absorbed in human cadaver skin and the receptor fluid after 24 h of exposure (ref. 32). higher values were found in another in vitro study with rat skin, where dermal absorption of 14C-D5 was maximally 1.5% (ref. 34). similar to in vitro studies with human or rat skin, also the in vivo rat study demonstrated that the majority (~ 85%) of d5 applied volatilized from the skin surface before being absorbed. less than 1.0% of the applied d5 appeared to be absorbed in vivo in one rat study of lower quality (ref. 75), whilst a newer rat study showed 0.09% dermal absorption of d5 (ref. 74). consistent with in vitro results for human cadaver skin, pharmacokinetic modelling of dermal absorption in human volunteers indicated for men and women that 0.05% of applied d5 was absorbed into systemic circulation (ref. ar2). a value of 0.17% for dermal absorption of d5 was taken by the canadian authorities (ref. ar13), based on the publication by jovanovic et al. (2008; ref. 33). based on the available information, the sccs considered that the results from the in vitro study on human skin may be used for the risk assessment of d5 after dermal exposure in cosmetic products (ref 32-33). the most conservative estimate of absorption obtained with neat d5 will be used. in accordance with the sccs notes of guidance, mean + 1 standard deviation lead to 0.06% absorption (0.04% + sem x√n with sem = 0.007 and n =5).",
decamethylcyclopentasiloxane,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,in vivo,non OECD,0.089 ± 0.0302%. ,,,,,,,,,,,,,,,,,,,"total radioactivity in charcoal tubes was compared to unchanged D5 determined by GC-MS analysis. the percent dose absorbed was determined as the amount of radioactivity in carcasses, faeces, urine, skin dosing sites, and cage rinses. absorption of 14c-d5 after 168 hours was determined to be 0.089 ± 0.0302%. ",rat/Fisher 344,,,,,,,,4,,,,,,,,,,,,test substance: neat 14C-D5 ,,,,10.9 ,mg/cm2,,,liquid scintillation counting ,dermal,,,semi-occluded,6 or 24h,,,total 168 hours,,,"absorption of 14c-d5 in the wash group after 168 hours (0.089 ± 0.0302) was significantly lower than seen after 24h of exposure (0.243 +/- 0.0259% of applied dose). these results demonstrated that the portion of D5 that remained in the skin after 24h of exposure, and was considered as part of the absorbed dose, migrated to the skin surface and continued to evaporate, significantly decreasing apparent absorption of D5.",,no,,74; ar1,"taken from sccs/1241/10. all rats were exposed in a semi-occluded manner using an aluminium skin depot with a charcoal basket for collection of volatilized D5.)  In order to differentiate expired air from 14C-D5 that escaped from the skin depot, an additional group of four euthanized rats (i.e., no expired air) was included in the study design. An additional 24-hour exposure group was added to evaluate disposition of the residual D5 following a soap and water wash (i.e., wash group). at the termination of exposure at 24 hours or at 168 hours post exposure, rats were euthanized by CO2 asphyxiation, the charcoal baskets were removed and extracted, skin was washed, tape stripped, excised, and solubilised in 35% tetraethylammonium hydroxide (teah). remaining carcasses were also solubilised in 35% teah. SCCS general comment on dermal absorption: there is some variation in results of in vitro and in vivo studies with d5. in the in vitro study, an average of 0.04% of d5 (applied neat or in antiperspirant formulation) was absorbed in human cadaver skin and the receptor fluid after 24 h of exposure (ref. 32). higher values were found in another in vitro study with rat skin, where dermal absorption of 14C-D5 was maximally 1.5% (ref. 34). similar to in vitro studies with human or rat skin, also the in vivo rat study demonstrated that the majority (~ 85%) of d5 applied volatilized from the skin surface before being absorbed. less than 1.0% of the applied d5 appeared to be absorbed in vivo in one rat study of lower quality (ref. 75), whilst a newer rat study showed 0.09% dermal absorption of d5 (ref. 74). consistent with in vitro results for human cadaver skin, pharmacokinetic modelling of dermal absorption in human volunteers indicated for men and women that 0.05% of applied d5 was absorbed into systemic circulation (ref. ar2). a value of 0.17% for dermal absorption of d5 was taken by the canadian authorities (ref. ar13), based on the publication by jovanovic et al. (2008; ref. 33). based on the available information, the sccs considered that the results from the in vitro study on human skin may be used for the risk assessment of d5 after dermal exposure in cosmetic products (ref 32-33). the most conservative estimate of absorption obtained with neat d5 will be used. in accordance with the sccs notes of guidance, mean + 1 standard deviation lead to 0.06% absorption (0.04% + sem x√n with sem = 0.007 and n =5).",
decamethylcyclopentasiloxane,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_174.pdf,in vivo,non OECD,,,,,,,,,,,1.2 ng/g,1h,,,,,,,"D5 levels were significantly elevated above baseline in blood, plasma, and in exhaled air at all time points after application. the plasma and blood levels of D5 after dermal application were less than 2.0 ng/g blood or plasma. with dermal application of 1.0 g (female) or 1.4 g (males) of D5, peak plasma D5 levels were 1.2 ng/g at 1 hour and 0.62 ng/g at 6 hours post exposure. D5 levels did not differ significantly between male and female volunteers. there was a relatively poor correlation between blood levels and exhaled air levels of D5 especially at 1 hour after application. thus it appears that plasma D5 becomes less available to partition in air. one explanation would be the D5, which is very lipophilic, becomes sequestered in plasma lipoproteins thus lowering the vapour pressure of D5 as it travels through the lungs. ",,"human / volunteers normal, healthy ",,,,,,f & m,,3,,,,,,,,,,,,test substance: 13C-D5 ,,,,"1.4,  1.0  ","g (m),  (f) ",,,,dermal,"axilla, applied once while the subject was breathing from a clean air source. ",,,,,"blood samples: prior to exposure and at 0.5, 1, 2, 4, and 6 hours, exhaled air samples: prior to exposure and at 15, 30, 45, 60, 75, 90, 105, 120, 240, and 360 minutes and at 24 hours after application. ",,,,,,no,,67,"taken from sccs/1241/10. sccs general comment on dermal absorption: there is some variation in results of in vitro and in vivo studies with D5. in the in vitro study, an average of 0.04% of D5 (applied neat or in antiperspirant formulation) was absorbed in human cadaver skin and the receptor fluid after 24 h of exposure (ref. 32). higher values were found in another in vitro study with rat skin, where dermal absorption of 14C-D5 was maximally 1.5% (ref. 34). similar to in vitro studies with human or rat skin, also the in vivo rat study demonstrated that the majority (~ 85%) of D5 applied volatilized from the skin surface before being absorbed. less than 1.0% of the applied D5 appeared to be absorbed in vivo in one rat study of lower quality (ref. 75), whilst a newer rat study showed 0.09% dermal absorption of d5 (ref. 74). consistent with in vitro results for human cadaver skin, pharmacokinetic modelling of dermal absorption in human volunteers indicated for men and women that 0.05% of applied d5 was absorbed into systemic circulation (ref. ar2). a value of 0.17% for dermal absorption of d5 was taken by the canadian authorities (ref. ar13), based on the publication by jovanovic et al. (2008; ref. 33). based on the available information, the sccs considered that the results from the in vitro study on human skin may be used for the risk assessment of d5 after dermal exposure in cosmetic products (ref 32-33). the most conservative estimate of absorption obtained with neat d5 will be used. in accordance with the sccs notes of guidance, mean + 1 standard deviation lead to 0.06% absorption (0.04% + sem x√n with sem = 0.007 and n =5).",
