Dossier,Guideline,PDF link,type of study,442C/MIE_reactivity class,442C/MIE_Mean of depletion (cystine/lysine) (%),442C/MIE_Mean of depletion (cystine) (%),442C/MIE_description of relevant observations related to the analysis,442C/MIE_homogeneity,442C/MIE_pH,442C/MIE_molecular weight,442C/MIE_composition,442C/MIE_purity (%),442C/MIE_solubility in vehicle,442C/MIE_solubility in water,442C/MIE_treatment prior to application,442C/MIE_chemical batch nr,442C/MIE_additional information,442C/MIE_deviations from guideline ,442C/MIE_HPLC analysis <30h,442C/MIE_type of HPLC,442C/MIE_columns,column temperature,detector,injection volumes,442C/MIE_flow rate,gradient,442C/MIE_concentrations tested,442C/MIE_purity,442C/MIE_supplier ,lot,442C/MIE_peptide concentration,442C/MIE_year,442C/MIE_GLP,442C/MIE_SCCS comment to test,442C/MIE_Ref. in dossier,442C/MIE_control,442C/MIE_storage condition,442C/MIE_additional information,442C/MIE_own comments,442D_max average luciferase activity (maximal induction),442D_mean cell viability /concentration,442D_EC 1.5 concentration,442D_IC50 cell viability concentration,442D_IC30 cell viability concentration,442D_conc. for maximal gene induction (CI max ),prediction outcome,442D_homogeneity,442D_pH,442D_concentration (%),442D_composition,442D_purity (%),442D_solubility in solvent,442D_chemical batch nr,additional info (free text),442D_deviation from guideline,442D_type,442D_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,442D_deviation from guideline,442D_lusens_type,442D_lusens_medium,442D_cell passage number,442D_confluence,442D_cell density/well (96) fixed at 10000cells/well,,442D_concentration ,442D_solvent,442D_luminometer,442D_duration of exposure (h),442D_Year,442D_GLP,442D_SCCS comment to test,442D_Ref. in dossier,442D_controls,442D_additional information,442D_own comments,442E_mean cell viability /concentration,442E_C75 value,442E_relative flurecent intensity (CD54),442E_relative flurecent intensity (CD86),442E_predicion outcome,442E_mean cell viability /concentration,442E_C70 value,EC150 CD86 stimulation index,442E_predicion outcome,442E_GAPLA,442E_IL8LA,442E_nIL8LA/GAPLA,442E_Ind-IL8LA,442E_Inh-GAPLA,442E_CV05,442E_predicion outcome,442E_homogeneity,442E_pH,concentration (%),442E_composition,442E_purity (%),442E_solubility in solvent,chemical batch nr,442E_additional info (free text),442E_deviation from guideline,442E_source,medium,442E_cell passage number,442E_cell density/well (24),442E_cell density/well (96),442E_deviation from guideline,442E_type,442E_medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_deviation from guideline,442E_type,medium,442E_cell passage number,442E_confluence,442E_cell density/well (96),442E_concentration,442E_solvent,442E_antibody,flow cytometer,442E_duration of exposure (h),442E_Year,442E_GLP,442E_SCCS comment to test,442E_Ref. in dossier,442E_additional information,442E_own comments,429_442A_442B_observations and recording of toxicity,429_442A_442B_stimulation index (SI),429_442A_442B_ATP measurments,429_442A_442B_relative luminecence units (RLU),429_442A_442B_BrdI labelling index,429_442A_442B_erythema scores,429_442A_442B_ear thickness,429_442A_442B_conclusion,429_442A_442B_homogeneity,429_442A_442B_pH,429_442A_442B_physical form,429_442A_442B_concentration (%),429_442A_442B_composition,429_442A_442B_purity (%),429_442A_442B_solubility in vehicle,429_442A_442B_chemical batch nr,429_442A_442B_additional info,429_442A_442B_species/strain,429_442A_442B_source,429_442A_442B_age at start of experiment,429_442A_442B_sex,429_442A_442B_feed,429_442A_442B_n animals / group,429_442A_442B_deviation from guideline,429_442A_442B_dose levels,429_442A_442B_volume,429_442A_442B_administration scheme,429_442A_442B_vehicle,429_442A_442B_year,429_442A_442B_GLP,429_442A_442B_SCCS comment to test,429_442A_442B_Ref. in dossier,429_442A_442B_control group,429_442A_442B_preliminary test,429_442A_442B_additional information,429_442A_442B_own comments,406_histopathological observations,406_first grading,406_second grading,rechallenge grading ,406_conclusion,406_outcome of test,406_homogeneity,406_pH,406_concentration (%),406_composition,406_purity (%),406_solubility in vehicle,406_chemical batch nr,406_additional info,406_species/strain,406_source,age at start of experiment,406_sex,406_feed,406_n animals / group,deviation from guideline,406_dose levels,intradermal injections,406_injection vehicle,406_patch site preparation,406_filter paper material and size,406_vehicle,,406_year,406_GLP,406_SCCS comment to test,406_Ref. in dossier,406_control group,406_preliminary study,406_additional information,406_own comments,non_oecd_histopathological observations,non_oecd_first grading,non_oecd_second grading,non_oecd_rechallenge grading ,non_oecd_conclusion,non_oecd_outcome of test,non_oecd_homogeneity,non_oecd_pH,non_oecd_concentration (%),non_oecd_composition,non_oecd_purity (%),non_oecd_solubility in vehicle,non_oecd_chemical batch nr,non_oecd_additional info,non_oecd_species/strain,non_oecd_source,non_oecd_age at start of experiment,non_oecd_sex,non_oecd_feed,non_oecd_n animals / group,non_oecd_deviation from guideline,non_oecd_dose levels,non_oecd_intradermal injections,non_oecd_injection vehicle,non_oecd_patch site preparation,non_oecd_filter paper material and size,non_oecd_vechicle,non_oecd_duration of application,non_oecd_application area,non_oecd_volume,non_oecd_occlusion,non_oecd_testing procedure,non_oecd_scoring times,non_oecd_additional info,non_oecd_induction of local irriation,non_oecd_year,non_oecd_GLP,non_oecd_SCCS comment to test,non_oecd_control,non_oecd_Ref. in dossier,non_oecd_additional information,non_oecd_own comments,,,,,,,,,,,,,
"n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine",OECD 429,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_196.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slight skin irritation was noted on the ear dorsum of the treated mice at a concentration of 10% (w/v). the Stimulation Index (S.I.) was below 3 in all dose groups. no dose response relation was noted. the EC3 value was not calculated because no test concentrations produced a S.I. of 3 or higher. the EC3 value for the positive control was 11.7% w/v. ,,,,,,,"a higher concentration of b034 than 10% (w/v) in acetone:olive oil could not be used because of irritation. therefore, b034 at more than 10% is assumed to have irritant potential. b034 was not determined to be a skin sensitiser under these particular experimental conditions",,,,,,99.5,,dala 013106 (sat 040271),test substance: b034,mouse/ bs/caolahsd (nulliparous and non-pregnant),,,f,,4,,"0, 2.5, 5, 10% (w/v) (application volume 25 µl)",,once daily for three consecutive days,"acetone:olive oil, 4:1 (v/v)",2004,yes,,"6, submission II",,,"positive control: α-hexylcinnamaldehyde (march 2004); acetone:olive oil, 4:1 (v/v). the highest non-irritating and technically applicable test item concentration was found in a pre-test with two mice. topical (epidermal) application to the dorsal surface of each ear lobe (left and right), spread over the entire dorsal surface of each ear lobe. five days after the first topical application, all mice were administered with radio-labelled thymidine (³HTdR) by intravenous injection via the tail vein. approximately five hours after ³HTdR application, the draining lymph nodes were excised and pooled for each experimental group. after preparation of the lymph nodes, disaggregation and overnight precipitation of macromolecules, these precipitations were resuspended and transferred to scintillation vials. level of ³HTdR incorporation was then measured by scintillation counting. the proliferative response of lymph node cells is expressed as the ratio of ³HTdR incorporation into lymph node cells of treated animals relative to that recorded in control mice (stimulation index). the proliferative capacity of pooled lymph node cells was determined by quantifying the incorporation of ³H-methyl thymidine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 442B,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no clinical signs, including skin irritation at the application area, were observed in any animal in the test item-treated or vehicle control group. no appreciable body weight changes were observed. in the positive control group, very slight erythema was observed in both ear auricles of all animals at approximately 1 hour after application on days 2 and 3 only.","SI values were 1.1, 1.0 and 1.0 in the low-, mid- and high-dose groups (10, 25 and 50% (w/v)), respectively. SI value in the positive control group was 7.4, indicating a positive response and an adequate sensitivity of the test system",,,,,,"c-1701 b_c_3 in dmf was considered not to possess any skin sensitising potential under the experimental conditions employed. therefore, c-1701 b_c_3 is not considered to be a skin sensitiser",,,,"10, 25, 50",,100,,1442/3+4,test substance: c-1701 b_c_3 ,mouse/ cba/j ,,,f,,2 animals/group (pre-test); 5 animals/group (main test),,"10, 25 and 50 w/v%",,once daily to the outside of both ears (25 μL/ear) for three consecutive days,dmf,2012,yes,"the LLNA:BrdU-ELISA uses a different cut-off than the traditional LLNA. in this nonradioactive LLNA, a substance is considered a skin sensitiser when the SI ≥ 1.6 (OECD TG442B). however, using this criterion, S87 can still be regarded as having no skin sensitisation potential",25,,,"positive control: 25 vol % α-hexyl cinnamic aldehyde (HCA). the concentrations used for the main test were based on a preliminary study using concentrations of 10, 25 and 50% (w/v), in which no clinical signs and no appreciable changes in body weights or auricular thickness were noted.on day 5, Bromodeoxyuridine (BrdU) was administered intraperitoneally (i.p.) to all animals at a dose level of 5 mg/animal. all animals were sacrificed on day 6.the ears were observed and scored for erythema and/or edema. then the auricular lymph nodes were excised  for lymph node weight determination and for subsequent assessment of BrdU incorporation by means of flow cytometry. the number of BrdU- positive cells was calculated for each animal by multiplying the lymphocyte count by the ratio of BrdU-positive lymphocytes and the stimulation index (SI) was calculated for each treated group. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethyl-p-phenylenediamine sulfate ,OECD 406,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hydroxyethyl-p-phenylenediamine sulfate induced a biologically relevant immune response in local lymph nodes after dermal application to the mouse ear when dmso was used as vehicle. the EC3 value was 0.57%. the concurrent positive control demonstrated the sensitivity of the assay. Based on these findings hydroxyethyl-p-phenylenediamine sulfate is evaluated to be a skin sensitiser under the described test conditions. ,"the mean stimulation indices were affected in a dose-dependent manner by the treatment with hydroxyethyl-p-phenylenediamine sulfate. with the test item in dmso, mean stimulation indices of 2.8, 4.5 and 7.0 were obtained for the 3 test concentrations of 0.5, 1.0 and 2.0%, respectively. an EC3 value (equal to the concentration inducing a stimulation index of 3) of 0.57% for hydroxyethyl-p-phenylenediamine sulfate was calculated. the positive control (PPD, 1% in dmso) caused a stimulation index of 10.1. ",,,,,99.7,,100789,test substance: hydroxyethyl-p-phenylenediamine sulfate,mouse/strain cba/ca01ahsd,,,f,,5,,"0, 0.5, 1.0 and 2.0 (w/v) %",,,,hydroxyethyl-p-phenylenediamine sulfate in DMSO was applied to the dorsal surface of the ear to each of five mice per group for three consecutive days. ,dmso,,2000,yes,"according to the grading scheme used by SCCS (SCCP/0919/05), hydroxyethyl-pphenylenediamine sulfate is a strong skin sensitiser the previous submission contained a magnusson-kligman maximisation test performed with hydroxyethyl-p-phenylenediamine sulfate, but the test design was not in line with current scientific and regulatory requirements. specifically the concentrations used for both, the epidermal induction and the challenge were not based on the required thresholds for a minimum irritating/maximum non-irritating concentration. in addition, unspecified test material was used. the study results suggested that there was no indication of a sensitising potential of hydroxyethyl-p-phenylenediamine sulfate. ref.: 4 (subm. I). in the local lymph node assay, hydroxyethyl-p-phenylenediamine sulfate induced a biologically relevant immune response in the vehicle DMSO with an EC3 value of 0.57%, indicative of a strong sensitiser. ",22,,,"positive control: p-phenylenediamine (PPD) at 1% in dmso (in parallel).negatove control: vehicle. dose volume: 25 µl. the skin sensitising potential of hydroxyethyl-p-phenylenediamine sulfate was investigated in CBA/Ca01aHsd mice by measuring the cell proliferation in the draining lymph nodes after topical application on the ear. 3 test groups (3 different concentrations), 1 positive control group and 1 negative control (vehicle) group were tested. twenty five µl of 0 (vehicle only), 0.5, 1.0 and 2.0% of hydroxyethyl-p-phenylenediamine sulfate in DMSO were applied to the dorsal surface of the ear to each of five mice per group for three consecutive days. p-phenylenediamine (PPD) at 1% in DMSO was used as the positive control in parallel under identical test conditions. on day 5, the mice received an intravenous injection into the tail vein of 250 µl phosphate buffered saline containing 20.0 µCi of [H3 ] methyl thymidine. approximately five hours later, the mice were sacrificed by CO2-inhalation and the draining auricular lymph nodes were removed and weighed. after preparing a single cell suspension for each mouse, cells were precipitated by TCA and the radioactivity was determined (incorporation of [H3 ] methyl thymidine in the pellets) by means of liquid scintillation counting as disintegrations per minute (dpm). the mean dpm per treated group was determined and the stimulation index (test item compared to the concurrent vehicle control) was calculated. the proliferative response of lymph node cells was calculated as the ratio of 3 H-methyl thymidine-incorporation into lymph node cells of test group animals relative to that recorded for control group animals. a stimulation index, ratio of test substance / vehicle control, was calculated for each concentration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethyl-p-phenylenediamine sulfate ,,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"in the local lymph node assay, hydroxyethyl-p-phenylenediamine sulfate induced a biologically relevant immune response in the vehicle dmso with an EC3 value of 0.57%, indicative of a strong sensitiser.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the previous submission contained a magnusson-kligman maximisation test performed with hydroxyethyl-p-phenylenediamine sulfate, but the test design was not in line with current  scientific and regulatory requirements. specifically the concentrations used for both, the epidermal induction and the challenge were not based on the required thresholds for a minimum irritating/maximum non-irritating concentration. in addition, unspecified test material was used. the study results suggested that there was no indication of a sensitising potential of hydroxyethyl-p-phenylenediamine sulfate. ",,4 (subm. I) ,,,,,,,,,,,,,,,
hydroxyethyl-p-phenylenediamine sulfate ,,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the study authors concluded that A80 may be a useful solution to the problem of PPD/PTD contact allergy.,"it was reported that 76% of tested subjects produced no reaction, 20% a positive reaction, 3% an irritant reaction and 1% had a reaction on subsequent exposure. of the 21% (231 subjects), 41 had further tests to the several ingredients of the A80-containing hair dye formulation and 19 reacted to A80 (1% pet.).",,,,,,,,,"human with known history of contact allergy to PPD and/or toluene-2,5-diamine ",,,,,1079,,,,,,,,,,,,the individuals in the cohort were asked to choose 2-3 shades from a range of colours that contained between 0.015 – 5.0% A80 (which would equate to on hair concentration of 0.0075 – 2.5% when mixed 1:1 with peroxide) but did not contain PPD or PTD. the chosen shades were diluted 1:10 and 1:100 and used for patch testing. ,,,,2003,,description of the methodology and data is limited. the colour shade preferences (and A80 content) used is not stated. the patch test concentrations may have been too low. the grade of patch test reactions experienced by the cohort to PPD/PTD is not stated; this is important. the data confirm that A80 is a contact allergen in man. ,,33,,,,,,,,,,,,,,,
hydroxyethoxyphenyl butanone ,OECD 429,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_225.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,positive control HCA generated a SI value of 3.38. the test substance induced a small increase in lymphoproliferation,"1.16, 1.24, 1.43, 1.53 and 1.78 (test substance concentrations respectively 1%, 10%, 25%, 50% and 75%)",,,,,,did not induce skin sensitisation in the LLNA,,,,"1, 10, 25, 50 or 75% (w/v)",,95.9 ± 0.5%,,r0069279a 019 d 004,test substance: r0069279a ,"mouse, cba/j",,,f,,4,,"1, 10, 25, 50 and 75 %",,daily on the dorsum of both ears for 3 consecutive days on the dorsum of both ears,acetone:olive oil (4:1; v/v),2011,yes,HEPB induced a dose-dependent increase of lymphocyte proliferation in the LLNA that resulted in a SI value of 1.78 at the highest dose (75%) tested. HEPB is not considered to be a skin sensitiser under the conditions of the test.,6,,,"guideline: ec b.42; positive control: α-hexylcinnamaldehyde (HCA) at 25 % (v/v) in AOO. concentrations for the main study were based on findings from a preceding irritation test, in which no increase in skin thickness was noted at test item concentrations of 5.0, 25.0, 50.0 and 75.0 % (w/v). after a 2-day rest, lymphocyte proliferation was assessed in the pooled auricular lymph nodes by measuring the incorporation of 3H-TdR. the values were used to calculate stimulation indices (SI)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n°9,,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one female animal died during the test period and was replaced; the cause of death was not established. assessment of erythema was not possible due to skin staining. the compound was reported not to cause any cutaneous reactions. ,,,,,,,dg2,test substance: hc yellow n° 9 ,guinea pig/dunkin-hartley,,,m & f,,20,,0.3 g ,,,,,,48 hours,"test substance: left flank, controls: right flank",,occlusive patches,"induction commenced with intradermal injection (0.1ml) of fca. the test substance (0.3g) was applied under a patch for 48 hours, three times a week, every other day, for two weeks, and once at the start of week 3. after a 12 day rest period, the animals were challenged by a single topical application of the test substance (0.3g) under occlusive patch on the left flank for 48 hours.","the skin was examined for erythema and oedema, 1, 6 and 24 hours after removal of the challenge patches. ",,"yes, 0.1ml 50% FCA ; 0.3g test substance x7 applications (day 1-15)",,yes,,,4 (subm. 1) ,a preliminary intradermal study indicated that the test substance could be used neat without provoking an irritant response. ,,,,,,,,,,,,,,
hc yellow n°9,OECD 429,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_026.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the stimulation index was lower than 3 at all the five concentrations assayed. no dose related effect was observed. hc yellow n° 9 at concentrations up to 1% did not induce delayed contact hypersensitivity in the murine local lymph node assay. no cutaneous reactions and no noteworthy increase in ear thickness were observed in the animals of the treated groups.,at 0.05%: SI 1.15/ at 0.1% : SI 1.20/ at 0.25%: SI 1.12/ at 0.5%: SI 1.73/ at 1%: SI 1.12/ postive control: SI 16.02,,,,,,,,,,,,98.5,,510071,test substance: hc yellow n°9,mouse/cba/j ,,,f,,4,,"0.05, 0.1, 0.25, 0.5 and 1% in dmso",,"during the induction phase, the test item, vehicle or reference item was applied over the ears (25 μL per ear) for 3 consecutive days (days 1, 2 and 3). after 2 days of resting, the proliferation of lymphocytes in the lymph node draining the application site was measured by incorporation of tritiated methyl thymidine (day 6). the obtained values were used to calculate stimulation indices (SI). the irritant potential of the test item was assessed in parallel by measurement of ear thickness on days 1, 2, 3 and 6. α-hexylcinnamaldehyde (HCA) at the concentration of 25% in DMSO has been used as positive control.",dmso,2005,yes,the concentrations tested were too low. a sensitisation potential cannot be excluded.,4 (subm. 3) ,,,"positive control: hca at the concentration of 25% in dmso. local lymph node assay (llna), during the induction phase, the test item, vehicle or reference item was applied over the ears (25 μL per ear) for 3 consecutive days (days 1, 2 and 3). after 2 days of resting, the proliferation of lymphocytes in the lymph node draining the application site was measured by incorporation of tritiated methyl thymidine (day 6). the obtained values were used to calculate stimulation indices (SI). the irritant potential of the test item was assessed in parallel by measurement of ear thickness on days 1, 2, 3 and 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hc yellow n° 2,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compound is not positive (>3) at any concentration and it is not sensitizer in this test.,"stimulation Index: test item: 1.19, 0.79, 1.03, 1.28; p-phenylenediamine: at 0.25% SI=1.35; at 0.5% SI= 1.59; at 1% SI= 5.06; at 2% SI= 13.79. ",,,"0, 0.25, 0.5, 1.0, 2.0%",,,,,,mouse/cba/caj ,,,f,,5,,"0, 0.25, 0.5, 1.0, 2.0% w/v",,,,,dmso,daily for 3 days,dorsal aspect of ear lobe,,,,,"5 days after the first application, 250 µL of a solution containing 20 µCi/mL 3 H-thymidine was injected intravenously. 5 hours later the animals were euthanized and the draining auricular lymph nodes were removed. incorporation of 3 H-thymidine was measured by β-scintillation counting.",,2000,no,the concentrations used are too low and a sensitising potential cannot be excluded. the study was not performed according a guideline and not in compliance with glp.,,7,"positive control: p-phenylenediamine,  dose volume: 25 µL. 5 days after the first application, 250 µL of a solution containing 20 µCi/mL 3H-thymidine was injected intravenously. 5 hours later the animals were euthanized and the draining auricular lymph nodes were removed. incorporation of 3H-thymidine was measured by β-scintillation counting. ",,,,,,,,,,,,,,
hc yellow n° 2,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there was no evidence of sensitisation to hc yellow 2 under the conditions employed in this study.,one panellist developed reactions during induction indicative of possible pre-sensitization. this individual was challenged on the back and forearm. she developed positive reactions to the test material and to the vehicle. these responses were interpreted as evidence of presensitization probably to the vehicle,,,3%,,,,,,human,,18-65 years old,f,,104,,3% in vehicle,,,,,"12% isopropanol, 2% tween-80, 2% natrosol, 0.05% sodium sulfite, water",,arm,,occlusive ,"entire study extended over a six weeks period with three phases: induction, rest and challenge. induction phase consisted of 9 consecutive applications of the test material. patches were removed 24 hours after application and evaluated each 48 hours. challenge phase was initiated during the sixth week of the study, with identical patches applied to sites on the opposite arm previously unexposed to the test material. patches were removed after 24 hours. sites were grades 24 and 48 hours after removal.",24 and 48h after removal,,yes,1984,no,sccs considers hript studies as unethical,,8,human occlusive repeated patch test,,,,,,,,,,,,,,
hc yellow n° 2,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there was no evidence of sensitisation to hc yellow 2 under the conditions employed in this study.,two subjects developed reactions on challenge and were re-challenged. the results indicate irritation but not sensitization,,,3%,,,,,,human,,18-79 years old,f & m,,98,,3% in vehicle,,,,,"12% isopropanol, 2% tween-80, 2% natrosol, 0.05% sodium sulfite, water",,arm,,occluded,"entire study extended over a six weeks period with three phases: induction, rest and challenge. induction phase consisted of 9 consecutive applications of the test material. patches were removed 24 hours after application and evaluated each 48 hours. challenge phase was initiated during the sixth week of the study, with identical patches applied to sites on the opposite arm previously unexposed to the test material. patches were removed after 24 hours. sites were grades 24 and 48 hours after removal",24 and 48h after removal,,yes,1984,no,sccs considers hript studies as unethical,,9,,,,,,,,,,,,,,,
hc yellow n° 2,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no sensitization was observed.,,,"0,1%, 3%, 25%",,,,423126,,guinea pig/ albino hartley,,,f,,10,,induction: intradermal injection:0.1% (w/v); topical: 25%/ challenge: 3% ,,,,,propylene glycol,,"induction topical application at shaved interscapular area, challenge application on shaved flank",,,"induction was performed by three pairs of intradermal injections made simultaneously with freund complete adjuvant 1:1 in water, (0.05 ml) of 0.1% solution of hair dye in water and in a 0.1% solution of hair dye in freund’s adjuvant. one week after the induction, topical application (48 hours under occlusive patch) of a 25% solution of the dyestuff in propylene glycol on the shaved interscapular area. two weeks later the animals were challenged by a single topical application of the 3% solution of dyestuff in propylene glycol in the shaved flank.","24, 48 and 72 hours post patch removal",,yes,1979,no,the study is not in compliance to GLP and not performed according to the guidelines,,6,,,,,,,,,,,,,,,
