Dossier,guideline,type of study,PDF link,OECD_451_453_observations,OECD_451_453_non-neoplastic findings (organ),OECD_451_453_neoplastiv findings (organ),OECD_451_453_moribound or dead animals prior to study termination,OECD_451_453_conclusion,OECD_451_453_homogeneity,OECD_451_453_pH,OECD_451_453_concentration (%),OECD_451_453_composition,OECD_451_453_purity (%),OECD_451_453_solubility in vehicle,OECD_451_453_chemical batch nr,OECD_451_453_additional info,OECD_451_453_species/strain,OECD_451_453_source,OECD_451_453_age at start of experiment,OECD_451_453_sex,OECD_451_453_feed,OECD_451_453_n animals / group,OECD_451_453_dose levels,OECD_451_453_administration scheme,OECD_451_453_oral,OECD_451_453_% of body surface,OECD_451_453_area of body,OECD_451_453_inhalation,OECD_451_453_vehicle,OECD_451_453_observation period,OECD_451_453_control and recovery group ( satelite group),OECD_451_453_Study duration,OECD_451_453_SCCS comment to test,OECD_451_453_year,OECD_451_453_GLP,OECD_451_453_Ref. in dossier,OECD_451_453_additional info,OECD_451_453_own comment,Non-OCED_observations,Non-OECD_non-neoplastic findings (organ),Non-OCED_neoplastic findings (organ),Non-OCED_ or dead animals prior to study termination,Non-OCED_conclusion,Non-OCED_homogeneity,Non-OCED_pH,Non-OCED_concentration (%),Non-OCED_composition,Non-OCED_purity (%),Non-OCED_solubility in vehicle,Non-OCED_chemical batch nr,Non-OCED_additional info,Non-OCED_species/strain,Non-OCED_source,Non-OCED_age at start of experiment,Non-OCED_sex,Non-OCED_feed,Non-OCED_n animals / group,Non-OCED_dose levels,Non-OCED_administration scheme,Non-OCED_oral,Non-OCED_% of body surface,Non-OCED_area of body,Non-OCED_inhalation,Non-OCED_vehicle,Non-OCED_observation period,Non-OCED_Study duration,Non-OCED_SCCS comment to test,Non-OCED_year,Non-OCED_GLP,Non-OCED_preliminary study,Non-OCED_control group,Non-OCED_Ref. in dossier,Non-OCED_additional info,Non-OCED_own comment,complimentary comments
p-aminophenol,/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no adverse effect on average body weight gains or survival of any group. body weights were not depressed more than 10% in any group compared with the controls. no unusual tumours developed in any of the groups. significant increases in malignant lymphomas over those in control group 2 (12%; 7/60) were observed in 3 treated groups of females (p-aminophenol group [32%; 19/60], a nonoxidative hair dye group [30%; 18/60], a non-oxidative hair dye group [38%; 23/60]. the observed increases were possibly due to a low control value in control group 2. the percentage of animals with malignant lymphomas in control group 1 was 22% [13/60]. moreover, the average in 3 previous control groups was 33%. otherwise, no increased tumour frequencies were found. It is noted that both the oxidative hair dye formulations contained p-phenylenediamine and one contained 4-amino-2-nitrophenol. two of the non-oxidative hair dye formulation contained disperse Blue 1",,,,,,,one of the oxidative hair dye contained 1.5% p-aminophenol,,,,,,mouse/swiss,,8 weeks old,f & m,,120 all groups together,1.5%, weekly in the case of 2 oxidative and 3 times weekly in the case of 12 non-oxidative hair dye formulations , weekly in the case of 2 oxidative and 3 times weekly in the case of 12 non-oxidative hair dye formulations ,,skin interscapular region,,6% hydrogen peroxide in equal volume to the tested formulation,20 months,,"one dermal study with p-aminophenol has been performed with rats and 2 dermal studies have been performed with mice. they were all negative. it should be noted that several hair dye formulations were tested in the dermal studies and some of the formulations contained substances classified as carcinogenic either by EU or the German MAK commission (2,4-diaminoanisole, EU carcinogen category 1B; Disperse Blue 1, EU carcinogen category 1B; p-phenylenediamine, MAK commission carcinogen category 3B; 4-amino-2-nitrophenol, MAK commission carcinogen category 3B). this indicates that the sensitivity of the dermal carcinogenicity studies has not been sufficient to identify possible carcinogenic effects of hair dye formulations. no conclusions regarding carcinogenicity can be drawn from these studies. ",,,,,jacobs et al. 1984,"dose volume: 0.05ml,  the mice were shaved 24 hours before treatment as needed. two control groups were shaved only and received no treatments.",,
hydroxyethyl-2-nitro-p-toluidine ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_061.pdf,in vitro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"one publication giving only a summary of the results evaluating toxicity and carcinogenicity by skin painting with formulations of hair dyes is available. 60 male and 60 female eppley swiss mice were painted three times a week for 20 months with 0.05 ml of a mixture of different dyes containing 0.3% hydroxyethyl-2-nitro-p-toluidine. no conclusions with regard to carcinogenicity could be drawn from this study. ref.: 26, submission III"
hc yellow n° 4,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no biologically significant changes in absolute or relative organ weight or haematology or clinical values were found. no compound-related lesions were seen in exposed rats. the mean body weight of female rats that received 10000 ppm was significantly lower than that of the controls. the survivals of exposed rats were similar to that of the controls. pituitary gland pars distalis adenomas were marginally increased in exposed male rats (0 ppm, 17/45; 2500 ppm 20/49; 5000 ppm 28/49), and there was a concomitant doserelated increase in the incidence of hyperplasia (8/45, 13/49, 18/49). there was no increase in the incidence of pituitary gland adenomas or carcinomas in female rats (34/49, 35/48, 30/49). ",,,,"the authors concluded that under the conditions of the 2-year feed study, there was equivocal evidence of carcinogenic activity of hc yellow n°4 in male f344 rats based on the increased in pituitary gland adenomas and hyperplasia. the male rats may have been able to tolerate a slightly higher dose of the chemical. there was no evidence of carcinogenic activity in female f344 rats.",,,,,"lot 0-218 > 93% pure, lot 3-074 > 97% pure, and lot 8103 > 98% pure. the most important impurity was identified as n-(2-hydroxyethyl)- 2-hydroxy-4-nitroaniline.",,southland corporation (lots 0-218 and 3-074) and prochimie international (lot 8103).,,rat/f344/n ,,6 weeks,f&m,,140,"diet containing: males; 0, 2500, or 5000 ppm hc yellow n° 4. females; 0, 5000 or 10000 ppm hc yellow n° 4 ","oral, diet","oral, diet",,,,,104 weeks,25 months,hc yellow n° 4 did not induce tumours in mice or rats after oral administration under the conditions of an us national toxicology program study,1985,yes,,,14,"this study was carried out by the us national toxicology program.  the male rats received 0 (control), 2500 (low dose), and 5000 ppm (high dose), corresponding to an average intake of hc yellow n°4 of 123 and 245 mg/kg bw/day during week 14 – 52 and 82 and 164 mg/kg bw/day during week 52 – 104 for low and high dose animals respectively. the females received 0 (control), 5000 (low dose), and 10000 ppm (high dose), corresponding to an average intake of hc yellow n°4 of 294 and 592 mg/kg bw/day during week 14 – 52 and 189 and 388 mg/kg bw/day during week 52 – 104 for low and high dose animals, respectively. the animals were observed twice daily. interim evaluations were performed on 10 rats from each dose group at 6 and 15 months. ",,
hc yellow n° 4,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"no biologically significant changes in absolute or relative organ weight or haematology or clinical values were found. pigmentation of the thyroid gland was observed at the 6-month interim evaluations; pigmentation and hyperplasia of the thyroid gland were seen at the 15-month interim evaluations. the mean body weights of mice receiving 10000 ppm were 20% to 30% lower than those of the controls during the second year of the studies. the survivals of exposed mice were similar to that of the controls. no neoplasms were considered related to chemical administration of the mice. however, a dose-related increased incidence of thyroid gland pigmentation and follicular cell hyperplasia occurred in both sexes of mice.",thyroid,,,"the authors concluded: under the conditions of the 2-year feed study, there was no evidence of carcinogenic activity in male and female b6c3f1mice.",,,,,"lot 0-218 > 93% pure, lot 3-074 > 97% pure, and lot 8103 > 98% pure. the most important impurity was identified as N-(2-hydroxyethyl)- 2-hydroxy-4-nitroaniline.",,southland corporation (lots 0-218 and 3-074) and prochimie international (lot 8103),,mice/b6c3f1,,6 weeks,f&m,,140,"diet containing: 0, 5000, or 10000 ppm hc yellow n°4. ","oral, diet","oral, diet",,,,,104 weeks,25 months,,1985,yes,,,14,"this study was carried out by the us national toxicology program. the mice received 0 (control), 5000 (low dose), and 10000 ppm (high dose), corresponding to an average intake of hc yellow n°4 for the male mice of 777 and 2283 mg/kg bw/day during week 14 – 52 and 932 and 2673 mg/kg bw/day during week 52 – 104 for low and high dose animals, respectively. the average intake of the
females of hc yellow n°4 of 1075 and 2676 mg/kg bw/day during week 14 – 52 and 984 and 2736 mg/kg bw/day during week 52 – 104 for low and high dose animals, respectively. the animals were observed twice daily. Interim evaluations were performed on 10 mice from each dose group at 6 and 15 months.",,
hc yellow n° 4,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no noteworthy differences were seen in any of the parameters studied between the controls and the animals receiving 19.5 or 97.5 mg/kg bw/day. all dogs gained weight normally and survived to end of the 104 weeks. all dogs in the two test groups excreted urine of a bluebrown colour on a daily basis. however urine analysis showed no remarkable findings. colour was normal in urine collected after overnight fasting. no gross or microscopic changes were seen in the various tissues and organs that could be attributed to the test material. no ultra-structural changes were observed in the electron microscopic studies conducted on sections of liver and urinary bladder. ,,,,the authors concluded that oral dosing exposure of a hair dye formulation containing 0.31% hc yellow n° 4 in formulations up to 97.5 mg/kg bw/day did not result in any signs of toxicity.,,,0.31,hair dye formulation,,,,,dog/beagles,,7 - 9 months,f&m,,12,"0, 19.5 and 97.5 mg/kg bw/day of hair dye formulation (0, 60 and 300 µg/kg bw/day of hc yellow n° 4) ","oral, diet","oral, diet",,,,,24months,,"no conclusions concerning potential carcinogenic effects can be made from the study with dogs due to the low concentration of hc yellow n° 4. moreover, it should be noted that the hair dye formulation contained 0.61% disperse blue 1 (eu carcinogen category 2) and 1.54% hc blue i (evaluated by iarc, sufficient evidence for carcinogenicity in animals).",before 1975,no,,,5,"diets were prepared daily with the incorporation of the hair dye formulation to give desired doses. adjustments of concentrations in the diet were made weekly according to body weight changes. each animal was observed daily for signs of toxic or pharmacologic effects. individual records of body weight and food consumption were kept on a weekly and daily basis. no positive control group was used. physical examinations including funduscopic, ekg, blood pressure, pulse rate and body temperature were conducted initially and at 3, 6, 12, 18 and 24 months. haematological, blood chemical and urinalysis parameters were determined on all high dose and controldogs and on 3 males and 3 females from the low dose group. haematologic studies includeddetermination of total and differential leucocyte counts, haematocrit, haemoglobinconcentration, erythrocyte sedimentation rate and prothrombin time. clinical chemistrydeterminations were conducted on animals that had been fasted for 18 hours. these included serum glucose, blood urea nitrogen, creatinine and uric acid concentrations andalkaline phosphatase and serum glutamic pyruvic transaminase activities. urinalysisincluded detection of occult blood, albumin, glucose, pH and microscopic examination ofurinary sediment.necropsy was performed on one male and one female from each group at 6, 12 and 18months. individual organ weights and organ to body weight ratios of the major organs wererecorded. sections from 30 tissues or organs were prepared and examined microscopically.electron microscopic evaluation of the livers and urinary bladder from all 18 dogs at 24months was performed. ",,
hc yellow n° 4,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"changes in body weight and food consumption have been similar for control and treated rats. survival just prior to terminal sacrifice (at week 117 119) the survival was 11 males and 15 females for the exposed group. survival was 15 males and 14 – 18 females for the control groups. after 114 weeks, the mean body weight in the treated group was 740 g in males and 496 g in females. control group values ranged from 682 to 759 g in males and 477 to 513 g in females. isolated variations in haematological values included decrease in total erythrocytes, haemoglobin and haematocrit in 1 treated female at 12 months and in 1 treated male at 24 months. gross observations considered to possibly be test material related were skin lesions including ulceration, scabbing, abscesses and thickening, colouring of the fur and skin at the application site and increased incidences of enlarged and/or firm livers. the incidence of parathyroid hyperplasia was higher in treated male and female rats than in control groups, which was considered possibly compound related. the incidence of hyperkeratosis and dermatitis was considered higher in treated animals than in controls and was considered possibly compound related. the most common tumour observed was pituitary adenoma. the statistically significant variations in incidence of pituitary adenoma between rats of different control groups as well as their statistically significant decrease in an experimental group when compared with two control groups tends to discount any biological significance of these findings. in addition, the incidences of this tumour in rats of both sexes was comparable to that routinely observed in aging rats of this strain at the testing facility. the incidence of mammary lobular hyperplasia was statistically significantly greater in control group 3 females than in control group 1 females. when treated females were compared to control group 1 females the incidence of mammary adenocarcinoma/carcinoma was statistically significantly increased. however when treated females were compared with control group 2 and 3 females or with all control females combined, there was no significant increase in this tumour type. therefore this finding is not considered to be of biological significance.","hyperkeratosis and dermatitis, parathyroide hyperplasia",pituitary adenoma,,the authors concluded that no evidence of carcinogenic activity was seen,,,0.4,one semipermanent hair dye formulation (p24) ,,,,"topical application, twice weekly",rat/sprague dawley,,weanling,f&m,,120,0.5ml of a solution containing 0.4% hc yellow n°4,"dermal, one application twice weekly","dermal, one application twice weekly",,shaved neck and back area,,,114 weeks,,"one study with hc yellow n° 4 in a semipermanent hair dye formulation (p24) involving topical application of mice and one involving topical application on rats have been identified. the concentration of hc yellow n° 4 was in both studies 0.4% (the maximum concentration on the human scalp is 1.5%). a number of different hair dye formulations were tested in the same studies. although some of the formulations contained 2,4-diaminoanisol (classified as carcinogen category 2 in EU), none of the formulations induced tumours in the mice or rats. thus, no conclusion with regard to carcinogenicity can be made from the studies. ",1977,no,,,23,"the experiment involved altogether 12 different dye formulations and 3 control groups. groups of 60 male and 60 female were obtained from the first mating (f1a) of a multigeneration reproduction study in rats treated with one semipermanent hair dye formulation containing 0.4% hc yellow n° 4. the f0 parents had received topical application of the hair dye formulation from the time of their weaning to the weaning of their offspring. an initial dosage level of 0.2 ml/rat was increased incrementally by 0.1 ml per week until 0.5 ml was achieved. there were 3 independent control groups each containing 60 males and 60 females, which received no treatment. no positive control group was used. the rats were observed daily for overt signs of toxicity and for mortality. detailed observations were recorded weekly. Individual body weights were recorded weekly for the first 14 weeks and monthly thereafter. group food consumption was recorded weekly. haematological, biochemical and urinalysis studies were done on 5 males and 5 females per group at 3, 12, 18, and 24 months of study. after 12 months of treatment, 5 males and 5 females from each group were sacrificed and necropsied. histopathological evaluations were performed on 18 tissues (plus tumour masses) including treated skin. ",,
hc yellow n° 4,non OECD,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,there were no overt sign of systemic toxicity in any of the dye-treated groups. five male and 9 female survived 23 months compared to 3 males and 8 females in the control group. there were no significant differences in absolute or relative liver or kidney weights in groups of 10 male and 10 female mice necropsied after 9 months. average body weights were comparable in all groups throughout the study. there were no statistically significant differences in the distribution of tumours among treated and control groups.,,,,the authors concluded that no evidence of carcinogenic activity was seen,,,0.4,one semipermanent hair dye formulation (p24) ,,,,,mice/swiss-webster ,,8-10 weeks,f&m,,100,0.05ml of a solution containing 0.4% hc yellow n°4,"dermal, & application weekly","dermal, & application weekly",,the dye was applied topically to a 1 cm² area on a clipped (24 h prior to application) site in the interscapular region.  non occlusive,,,23 months,,,< 1980,no,,,22,"the experiment involved 12 treatment groups and 3 negative control groups. mice received a dose of 0.05 ml topically without occlusion once weekly from 8 - 10 weeks of age for 23 months. the animals were observed daily for mortality and signs of toxicity, and were weighed monthly. a continuous weekly record was maintained for any skin lesions noted. After 9 months of treatment, 10 males and 10 females per group were necropsied and the study was terminated after 23 months. skin and internal organs were evaluated histologically",,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the urinary bladder and kidneys of rats are the main target tissues after chronic administration of OPP and SOPP. OPP and SOPP resulted in urinary bladder tumours (papilloma and carcinoma, mainly transitional cell papilloma and carcinoma) in male f344 rats. at higher doses, also the renal pelvis and the renal papilla are target tissues for OPPand SOPP toxicity. SOPP also induced kidney tumours in male f344 rats. liver tumours observed in male b6c3f1 mice are attributed to the high spontaneous rate for liver tumours in this strain of mice. if repeat-dose studies performed with OPP and SOPP are considered together with mechanistic, genotoxic and toxicokinetic studies, SCCS considers SOPP and OPP different with respect to potency and tumour induction (SOPP is of higher potency and available data does not allow to define a reliable threshold for SOPP). for OPP on the other hand, the coincidence of a variety of factors is required in order to induce tumour formation in bladder and kidneys of rats allowing the assumption of a threshold MOA for tumour formation. independent long-term repeat dose studies performed with OPP point to a threshold between 35 and 40 mg/kg bw/d. ",,,,,,"OPP and SOPP resulted in urinary bladder tumours (papilloma and carcinoma, mainly transitional cell papilloma and carcinoma) in male f344 rats. results from 2-generation toxicity studies performed with OPP in Sprague-Dawley rats demonstrate that adverse effects on the urinary tract are not limited to the f344 rat strain. a shorter time to tumour was observed with increasing doses of OPP or SOPP. OPP and SOPP steep doseresponse-relationships were observed. however, in some instances (when very high doses were tested) lower incidences of bladder tumours were observed at highest doses tested when compared to the respective lower concentration. kidney tumours in male f344 rats receiving SOPP (mainly transitional cell carcinomas of renal pelvis and papilla) were reported from a study which did not correspond to the requirements of an in vivo carcinogenicity study. compared to bladder tumours observed in the same study, kidney tumours appeared at higher doses and with lower incidence. SOPP and OPP induced liver tumours in b6c3f1 mice (mainly hepatocellular tumors); however, the occurrence of hepatocellular tumours in this strain of rats might be attributed to the high spontaneous rate for liver tumours in this strain of mice (NTP, 2007; hasemann et al., 1998; battershill and fielder, 1998). applied dermally, OPP and SOPP did not induce tumours. therefore with respect to safety evaluation, focus is on bladder carcinogenicity of OPP and SOPP. an immense amount of mechanistic studies along with studies on metabolism and genotoxicity were used to assess whether a threshold MOA would be applicable for tumour induction of OPP and SOPP and whether bladder tumours might be of relevance for humans. with respect to OPP, a quite extensive database allowing identification a threshold dose is available, however it cannot be concluded that bladder tumours might not be of relevance  for humans. the data demonstrate, that by a combination of different requirements cytotoxicity on the urinary bladder epithelium is produced, which is followed by regenerative hyperplasia finally leading to tumours. among the different requirements considered necessary for bladder tumorigenesis are the following: - increased sodium concentration and increased pH in urine (alkaline urine and high sodium content contribute to tumour development); - pH dependent autoxidation of PHQ in urine; - formation of reactive species by - pH dependent autoxidation of PHQ in urine; - sufficient amounts of free PHQ in urine (e.g. sufficiently high dosages). there might be further contributing factors such as reduced formation of potentially cytoprotective prostaglandins in the urothel.  for SOPP on the other hand, there is clear indication that the substance is more potent with respect to urinary bladder carcinoma and that there are mechanistic differences between OPP and SOPP. amongst other factors, SOPP leads to higher sodium concentrations in urine and also to higher urinary pH. there is insufficient dose-response data available to draw a conclusion on the possibility of setting a threshold for SOPP induced carcinogenicity. the overall weight of evidence for OPP points to the fact that a threshold for bladder carcinogenicity exists. the assumption of a threshold MoA for bladder carcinogenicity in male rats treated with OPP is further supported by the following observations: • reversibility of effects (decreased urinary bladder hyperplasia after cessation of 13 weeks of exposure to OPP); • species- and strain-specific differences (OPP-induced bladder tumours were not observed in female rats, mice, dogs); • dermal application to mice does not affect tumour incidence in skin; • no skin tumour development induced by OPP metabolites; • tumours occur at high doses when sulfate and glucuronide conjugation pathways are saturated. the threshold for OPP-induced bladder tumours can be approached from different studies all yielding a quite consistent picture: in a 2-year bioassay in f344 rats (ref. 303), a NOAEL of 39 mg/kg bw/d was obtained based on urinary bladder hyperplasia and urinary bladder transitional cell carcinoma. in a study investigating cytotoxicity and regenerative hyperplasia in male f344 rats fed different levels of OPP (ref. 263), no effects were observed at a dose level of 0.08 % OPP in diet (corresponding to approximately 40 mg/kg bw/d). in a 2-generation reproductive toxicity study performed in sprague-dawley rats, a NOAEL of 35 mg/kg bw/d was identified based on morphological changes in the urinary bladder (ref. 36)",,
o-aminophenol,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,in vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no tumours were observed after autopsy,no conclusions can be drawn from the study with regard to the carcinogenicity of o-aminophenol. ,,,,,,0.117%,,,,,test substance: o-aminophenol hydrochloride,rat/sprague-dawley,,,m,,12,diet for 9 months,oral,oral,,,,,9 months,,"the two studies above were published in 1948 and 1958, respectively. no conclusions can be drawn from the two studies with regard to the carcinogenicity of o-aminophenol. although the potent carcinogen 4-dimethylaminoazobenzene induced tumours already after 4 months, the sensitivity of the study is considered low. the second study is not considered relevant due to the exposure route. ",1948,,,,6 (subm. I),,,
o-aminophenol,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,in vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cholesterol pellets were implanted in the bladder of 37 mice. the cholesterol control pellets caused 5 carcinomas in 55 mice (9.0%) while the pellets containing o-aminophenol caused 2 carcinomas (5.4%). ,no conclusions can be drawn from the study with regard to the carcinogenicity of o-aminophenol. ,,,,,,12.5%,cholesterol pellets contianing the test substance,,,,o-aminophenol,mice,,,,,37,,,,,,,,,,"the two studies above were published in 1948 and 1958, respectively. no conclusions can be drawn from the two studies with regard to the carcinogenicity of o-aminophenol. although the potent carcinogen 4-dimethylaminoazobenzene induced tumours already after 4 months, the sensitivity of the study is considered low. the second study is not considered relevant due to the exposure route. ",1958,,,,8 (subm. V),,,
o-aminophenol,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,in vivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the animals were observed daily for mortality and signs of toxicity, and were weighed monthly. a continuous weekly record was maintained for any skin lesions noted. after 7 months of treatment, 10 males and 10 females per group were necropsied and the study was terminated after 21 months. skin and internal organs were evaluated histologically. there were no overt sign of systemic toxicity in any of the dye-treated groups. eight males and 9 females survived 21 months compared to 9 and 12 males and 11 and 14 females in the two control groups. there were no significant differences in absolute or relative liver or kidney weights in groups of 10 male and 10 female mice necropsied after 7 months. average body weights were comparable in all groups throughout the study. there were no statistically significant differences in the distribution of tumours among treated and control groups. ",,,no evidence of carcinogenic activity was seen.,,,,0.3% o-aminophenol,a solution containing an equal volume of 6% hydrogen peroxide and the hair dye formulation (7405) containing 0.3% o-aminophenol ,,,,,mice/swiss-webster,,8-10 weeks,f & m,,100,0.05 ml,,,"dermal, 1 application weekly, without occlusion",1 cm² area on a clipped (24 hours prior to application) site in the interscapular region. ,,,21 months,,"one study with o-aminophenol in an oxidative hair dye formulation (7405) involving topical application of mice has been submitted. the concentration of o-aminophenol was 0.15% (0.3% prior to mixing with hydrogen peroxide) (the maximum concentration on the human scalp is 0.6%). a number of different hair dye formulations were tested in the same studies. although some of the formulations contained 2,4-diaminoanisol (classified as carcinogen category 2 in EU), none of the formulations induced tumours in the mice. thus, no conclusion with regard to carcinogenicity can be made from the studies. ",before 1980,no,,,10 (subm. V) ,the experiment involved 12 treatment groups (9 oxidative hair dye formulations + 3 semi permanent hair dye formulations) and 3 negative control groups. the oxidative hair dye formulations were mixed with an equal volume of 6% hydrogen peroxide just before use and applied within 15 min after mixing. ,,
hc yellow n° 2,/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no noteworthy differences were seen in any of the parameters studied between the controls and the animals receiving 19.5 or 97.5 mg/kg bw/day. all dogs gained weight normally and survived to end of the 104 weeks. all dogs in the two test groups excreted urine of a blue-brown colour on a daily basis. however urine analysis showed no remarkable findings.colour was normal in urine collected after overnight fasting.no gross or microscopic changes were seen in the various tissues and organs that could be attributed to the test material. no ultra-structural changes were observed in the electronmicroscopic studies conducted on sections of liver and urinary bladder.,,,no,oral dosing exposure of a hair dye formulation containing 0.28% hc yellow n° 2 in formulations up to 97.5 mg/kg bw/day did not result in any signs of toxicity.,,,0.28%,semipermanent hair dye formulation,,,,,dog/ beagles,,7 – 9 month,f & m,,12,"0, 19.5 and 97.5 mg/kg bw/day of hair dye formulation (0, 54.6 and 273 µg/kg bw/day)","oral, diet","oral, diet",,,,,24 months,,"no conclusions concerning potential carcinogenic effects can be made from the study with dogs due to the low concentration of hc yellow n° 2. moreover, it should be noted that the hair dye formulation contained 0.61% disperse blue 1 (EU carcinogen category 2) and 1.54% hc blue 1 (evaluated by IARC, sufficient evidence for carcinogenicity in animals).",before 1975,no,,,21,"diets were prepared daily with the incorporation of the hair dye formulation which contained 15 hair dye substances. adjustments of concentrations in the diet were made weekly according to body weight changes. aach animal was observed daily for signs of toxic or pharmacologic effects. individual records of body weight and food consumption were kept on a weekly and daily basis. no positive control group was used. physical examinations including funduscopic, EKG, blood pressure, pulse rate and body temperature were conducted initially and at 3, 6, 12, 18 and 24 months. haematological, blood chemical and urinalysis parameters were determined on all high dose and control dogs and on 3 males and 3 females from the low dose group. haematologic studies included determination of total and differential leucocyte counts, haematocrit, haemoglobin concentration, erythrocyte sedimentation rate and prothrombin time. clinical chemistry determinations were conducted on animals that had been fasted for 18 hours. these included serum glucose, blood urea nitrogen, creatinine and uric acid concentrations and alkaline phosphatase and serum glutamic pyruvic transaminase activities. urinalysis included detection of occult blood, albumin, glucose, pH and microscopic examination of urinary sediment. necropsy was performed on one male and one female from each group at 6, 12 and 18 months. individual organ weights and organ to body weight ratios of the major organs were recorded. sections from 30 tissues or organs were prepared and examined microscopically. electron microscopic evaluation of the livers and urinary bladder from all 18 dogs at 24 months was performed. ",,
hc yellow n° 2,/,in vivo,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_038.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"application of hair dyes did not have an adverse effect on average body weight gains or survival of any group. body weights were not depressed more than 10% in any group compared to the controls. the predominant tumours seen were those that occur commonly in the eppley swiss mouse, namely lung adenomas, liver haemangiomas, and malignant lymphomas. no unusual tumours developed in any of the groups.",,,no,no toxic or carcinogenic effects were induced by hc yellow n° 2,,,0.5%,semi-permanent hair dye formulations (7601),,,,the oxidative dye solutions were mixed with an equal volume of 6% H2O2 just prior to application. ,mouse/eppley swiss ,,8 weeks,f & m,,120,0.05 ml,3 application weekly ,3 application weekly ,1 cm2,"topical, interscapular region (shaved 24 h before treatment),  3 application weekly for 20 months ",,,20 months,,"a number of different hair dye formulations were tested in the same study. although some of the formulations contained disperse blue 1 (EU carcinogen category 2) none of the formulations induced tumours. thus, no conclusion with regard to carcinogenicity can be made from the studies",before 1984,no,,,20,2 oxidative and 12 non-oxidative hair dye formulations were tested. two of the nonoxidative hair dye formulation including the one with hc yellow n° 2 contained 0.3% disperse blue 1 (EU carcinogen category 2). two control groups of were shaved only and received no treatments. ,,
