dossier ,guideline ,PDF link ,method of analysis/ method of detection,observations,moribound animal,corrosivity,"grading of lesion,  irritation response scores ( IVIS, ICE class, irritation index)",cell viability,optical density,IL-1α concentration,systemic effects,"corneal swelling, opacity and fluorescein retention",opacity and permeability,membrane barrier penetration,skin impedance TER,dye binding assay data,results,conclusion,homogeneity and stability ,pH,physical form ,"treatment(grinding, wetting )",particle size,concentration (%),composition,purity (%),direct interaction with MTT,coloring of tissue,solubility in vehicle,chemical batch nr,additional info,0,species/strain,source,age at start of experiment,"age measuring unit (day, week, month, year)",sex,weight,"weight measuring unit (gram, kilogram)",feed,n animals / group,test system,"test system details ( source, stored prior to use, wetting, treatment, strain, pre-, age at sacrifice)",replicates /condition,cell design,receptor fluid,viability,barrier function,morphology,quality control,calibration,proficiency,TER measurement,"measuring system ( uplc/hplc-spectrophotometer,….)",age at sacrifice,in silico,dose level,unity ( or extra information),dose volume (mL),administration / application scheme,route of exposure,use of anaesthesic/analgesic,"patch system ( open, semi-occluded, occluded)",skin condition,exposed area (cm2),exposure time/ time point ,"exposure unity (seconde,,minute,hour, day) and extra information ",observation period (day),scoreing times/sampling franctions,application scheme,treatment period,treatment period time unity ,temperature during treatment period(°C),humidity,temperature during post-treatment(°C),post treatment incubation time,post treatment incubation medium,rinsing ,vehicle name ,vehicle concentration %,procedure,additional info,year,GLP,SCCS comment to test,Ref. in dossier,preliminary study ,Klimisch score,control groups,additional information,own comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,,,,,,,,,,,,,,,,the test substance was non-irritant to rabbit skin,,,liquid,,,1%,test substance dissolved in propylene glycol,,,,,,test substance: 1-hydroxy-2-aminobenzene,in vivo ,rabbit/ new zealand albino white,,,,m,,,,6,,,,,,,,,,,,,,,,,,,,dermal,,occlusion,clipped skin,,23,h,,,,,,,,,,,,propylene glycol,,,,,,,1 (subm. 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,,,,,,,,,,,,,,,,the test substance was non-irritant to rabbit skin,,,solid powder,,,,,,,,,,,in vivo ,rabbit/ new zealand albino white,,,,m,,,,6,,,,,,,,,,,,,,,,0.5,g,,,dermal,,,clipped skin,,,,,,,,,,,,,,,,,,,,,,11 (subm. 5),,,,the study was using three different protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_025.pdf,,,,,,,,,,,,,,,,the 1% solution was found slightly irritant to the rabbit eye one hour after instillation without rinsing. the effect was reversible within 24 hours.,,,,,,1%,test substance dissolved in propylene glycol,,,,,,test substance: 1-hydroxy-2-aminobenzene,in vivo ,rabbit,,,,,,,,6,,,,,,,,,,,,,,,,,,,,ocular,,,,,1,h,,,,,,,,,,,no,propylene glycol,,,,,,,1 (subm. 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine",OECD 404,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_196.pdf,,"animals were examined for signs of erythema, eschar and oedema formation.although there was purple staining of this skin, this was reported as not affecting the observations. no reaction was seen at any time point.",,,,,,,,,,,,,,not an irritant to rabbit skin under the conditions of the experiment,,,,,,,,99.5,,,,dala 013106 (sat 040271),test substance: b034,in vivo ,"rabbit/albino new zealand white, (spf-quality)",,,,m,,,,3,,,,,,,,,,,,,,,,0.5 ,g,,single,dermal,,semi-occlusive,shaved intact skin on back of the animals,150,4,h,3,"1, 24, 48 and 72 hours",,,,,,,,,,water (milli-u),,,,2004,yes,purple staining of the skin was noted in all animals at all-time points. the study authors stated that this staining did nor mask any erythema,"4, submission 2",,,each animal served as it's own control. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"n,n’-bis-(2-hydroxyethyl)-2-nitro-p-phenylenediamine",OECD 405,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_196.pdf,,"instillation of undiluted b034 into one eye of each of three rabbits resulted in irritation of the conjunctivae, which consisted of redness and chemosis. the irritation had completely resolved in one animal within 72 hours and in the other two animals within 7 days. no scoring after 1 hour of the iris and lower part of the eyelids was possible, because of staining by the test substance. no iridial irritation or corneal opacity was observed, and treatment of the eyes with 2% fluorescein 24 hours after test substance instillation revealed no corneal epithelial damage.",,no,,,,,,,,,,,,b034 was an irritant to rabbit eyes.,,,solid,,,,,99.5,,,,dala 013106 (sat 040271),test substance: b034,in vivo ,"rabbit/ albino new zealand white, (spf-quality)",,,,m,,,,3,,,,,,,,,,,,,,,,52,mg,0.1,single,ocular,,,,,24,h,7 days,"1 hour, 24, 48 and 72 hours and 7 days after instillation ",,,,,,,,,"yes, with warm tap water",,,,,2004,yes,,"5, submission 2",,,the other eyes served as controls.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 439,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,"spectrophotometrically (mtt assay), following the post-treatment incubation period, cell viability was assessed by the mtt assay in which 300 µl of mtt solution was added to the tissues. after a 3-hour incubation period, the mtt solution was removed and the tissues were washed with pbs. the formed formazan was extracted by incubation of the tissues in isopropanol. the optical density was determined spectrophotometrically at 570 nm (OD570).",mean viability of the test item-treated tissues was 101%. yellow discoloration of the tissues was observed after washing. the positive control item demonstrated appropriate sensitivity (relative viability ≤ 20%) of the tissues used under test conditions.,,,,101%,,,,,,,,,,"the study authors conclude that, under the conditions of this in vitro study, c-1701 b_c_3 did not show a skin irritation potential in the EpiDerm™ skin irritation test. on the basis of this validated stand-alone in vitro test, c 1701 b_c_3 is not expected to be irritating to skin at the use concentration and undiluted. ",,,solid,,,,,96.3,negative,positive,,c-1701/8,test substance: c-1701 b_c_3 no. 11/0473-3 ,in vitro,,,,,,,,,,EpiDerm™ model , tissue wetted with 25µl phosphate buffered saline,3,,,,,,,,,,,,,11.67,mg/cm2 ,0.025,,,,,,0.6 ,,,,,"single application of neat substance, homogenously distributed.",60,m,25 mins at room temperature and 35 mins in the incubator,,,42 hours,,after treatment (exposure) tissues were rinsed with pbs,,,"following a 42-hour post-treatment incubation period, cell viability was assessed by the mtt assay in which 300 μl of mtt solution was added to the tissues. After a 3-hour incubation period, the mtt solution was removed and the tissues were washed with pbs. the formed formazan was extracted by incubation of the tissues in isopropanol. the optical density was determined spectrophotometrically at 570 nm (OD570). ",,2012,yes,"according to OECD TG 439 (2010) a minimum of 25 mg/cm2 should be used in case of solid chemicals. in the study provided, an amount of 7 mg/0.6 cm2 or 11.67 mg/cm2 of test substance was used i.e. far below the recommended 25 mg/cm2 . in addition, a high variability between sample tissues was observed with a standard deviation between tissue replicates of 20.85, exceeding the recommended maximum acceptable variability of SD<18. due to these shortcomings, SCCS considers that a skin irritation potential of S87 cannot be excluded. ",19,,,positive control: 5% (w/v) sds in deionised water and negative control: pbs; control tissues were treated with 30 μl of either the negative control or positive control. relative viability of negative control group: 100 ± 1.31; relative viability of positive control group: 3% ± 0.25,"guideline: commission regulation (EC) No 761/2009, b.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 439,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,"spectrophotometrically (mtt assay) following the post-treatment incubation period, cell viability was assessed by the MTT assay in which 300 µl of MTT solution was added to the tissues. after a 3-hour incubation period, the MTT solution was removed and the tissues were washed with PBS. the formed formazan was extracted by incubation of the tissues in isopropanol. the optical density was determined spectrophotometrically at 570nm (OD570). ","the relative mean viability of the tissues treated with the test substance was 124.8%. the positive control item showed a relative mean viability of 3.6%, reflecting the expected sensitivity of the tissues. the mean OD570 of the negative control was within the acceptance criteria.",,,,124.8%,570,,,,,,,,,c-1701 b_c_3 did not show a skin irritation potential in the EpiDerm™ skin irritation test under the test conditions used.,,,solid,,,,,99.5,negative,no information provided in the study report,,0009511412,test substance: c-1701 b_c_3 no. 11/0473-5 ,in vitro,,,,,,,,,,EpiDerm™ model, tissue wetted with 25µl phosphate buffered saline,3,,,,,,,,,,,,,39,"mg/cm2, 25mg solid test material",,,,,,,0.6,,,,,single application of neat substance and homogenously distributed so that the tissue surface was uniformly and completely covered.,60,m,25-28 minutes at room temperature and 32-35 minutes in the incubator,,,42 hours,,"after exposure, tissues were rinsed with PBS.",,,"following a 42-hour post-treatment incubation period, cell viability was assessed by the mtt assay in which 300 μl of mtt solution was added to the tissues. After a 3-hour incubation period, the mtt solution was removed and the tissues were washed with pbs. the formed formazan was extracted by incubation of the tissues in isopropanol. the optical density was determined spectrophotometrically at 570 nm (OD570). ",,2019,yes,sccs considers that s87 is not irritating to skin at the use concentration and undiluted,20,,,"positive control: 30µl of 5% (w/v) sds in water and negative control: 30µl of pbs; the positive control item showed a relative mean viability of 3.6%, reflecting the expected sensitivity of the tissues. the mean OD570 of the negative control was within the acceptance criteria. nc relative viability: 100.0± 4.2","guideline: commission regulation (EC) no 640/2012, b.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 437,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,spectrophotometry,,,,ivis:  test substance: 5.4 ± 1.6,,490,,,,test item: mean opacity: 5.5 ± 1.6; mean permeability - 0.004 ± 0.002 ,,,, ivis value of c 1701 b_c_3 did not indicate a test item-related risk of serious damage to eyes. ,c-1701 b_c_3 does not cause serious eye damage,,,liquid,,,20,suspension in deionized water ,96.3,,,,c 1701/8,test substance: c-1701 b_c_3 no. 11/0473-3 ,in vitro,,,,,,,,,,fresh bovine corneas,"they were collected from the slaughterhouse from 12-16 month old donor cattle, and examined for defects",3,,,,," those presenting defects such as opacity, scratches, pigmentation etc. were discarded. the corneae were carefully removed from the eyes and mounted in a holder. ",,,,,,12-16months,,,,0.075,,,,,,,,,,,,4,h,32,,,,,,,,"permeability of the corneae was determined by measuring at 490 nm the transfer of 0.5% (w/v) sodium fluorescein upon incubation in a horizontal position for 90 minutes at about 32 °C. after a first basal opacity measurement of the fresh bovine corneae, 750 μL of the test item, the positive and the negative controls were applied onto the corneae and incubated for 4 hours at about 32 °C. after the incubation phase, the test item, the positive and the negative controls were each rinsed from the corneae and the opacity was measured again. ",,2012,yes,"due to an outlier, negative control values were not within the historical range. consequently, negative control corrections for permeability and opacity measurements were not performed for results obtained for the positive control and the test substance. based on the unambiguous results of the study, even without background corrections, the sccs has accepted that s87 does not cause serious eye damage. however, a mild or moderate eye irritation potential cannot be excluded.",21,,,"positive control: 20% (w/v) imidazole in deionised water and negative control: deionised water. the PC item demonstrated appropriate sensitivity (IVIS value within 2 SD of the laboratory’s historical mean value, i.e. 87.7-144.2) of the test system. negative control: mean opacity 1.5 ± 3.2; mean permeability 0.201 ± 0.358, ivis 4.5 ± 3.9, positive control: mean opacity 72.2 ± 6.4, mean permeability 3.847 ± 0.959, ivis 129.9 ± 16.4. ","bovine corneal opacity and permeability test, guideline:  commission regulation (EU) no 1152/2010, b.47; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 492,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,spectrophotometry,yellow discoloration of the tissues was observed after washing. ,,,,"104%, ",570,,,,,,,,,c1701 b_c_3 did not show an eye irritation potential,,,,,,,,96.3,negative,positive,,c-1701/8,test substance: c-1701 b_c_3 no. 11/0473-3 ,in vitro,,,,,,,,,,epiocular™ human cornea model,tissues were wetted with 20 μl PBS and incubated for 30 minutes,2,,,,,,,,,,,,,8,mg,0.05,,,,,,0.6,,,,,,90,m,,,,18 hours,standard culture condition ,tissues were rinsed with pbs after 90minutes incubation ,,,"mtt assay for measuring cell viability: the medium was replaced by 300 µl of mtt solution. after a 3-hour incubation period, the mtt solution was removed and the tissues were washed with PBS. the formed formazan was extracted by incubation of the tissues in isopropanol at room temperature overnight or for at least 2 hours on a plate shaker. the optical density was determined spectrophotometrically at 570 nm (OD570). ",,2012,yes,"this study was performed prior to the acceptance of the official oecd tg 492 guideline for the epiocularTM test. however, an amount of 8 mg/0.6 cm2 or 13.33 mg/cm2 of s87 was applied on the tissue surface, being too low to accurately predict eye irritation potential. due to these shortcomings, sccs considers that the potential of s87 to be irritating to the eye cannot be excluded.",22,,,"positive control: methyl acetate and negative control: deionised water.the positive control item demonstrated appropriate sensitivity (relative viability < 50%, expected tissue viability of approximately 25%) of the tissues used under test conditions. nc: mean viability: 100%, inter-tissue variability: 8.7%; pc: mean viability: 16%, inter-tissue variability: 0.9%. test item-treated tissue: inter-tissue variablity: 0.7","guideline: mattek, epiocularTM human cell construct: procedure details version 3.1a; harbell j.w. et al. (2009): colipa program on optimization of existing in vitro eye irritation assays for entry into formal validation: technology transfer and intra/inter laboratory evaluation of epiocular assay for chemicals, poster #378, society of toxicology march 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 437,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,spectrophotometry,,,,the ivis value of c-1701 b_c_3 diluted at 3% is quite similar to the vehicle control: 0.5 ± 0.1,,,,,,mean opacity: 0.3 ± 0.0; mean permeability: 0.009 ± 0.005,,,,,c-1701 b_c_3 diluted at 3% (w/w) in 50% dmso does not cause serious eye damage and can be classified as “no category”,,5.8,,,,3,test substance in 50% (w/w) dmso in pure water,99.4,,,,0009511412,test substance: e212657,in vitro,,,,,,,,,,fresh bovine corneas,they were collected at slaughterhouses  from 6-8 months old cattle and prepared within 4 hours of collection.  ,3,,,,,eyes that were too big or that had defects were rejected.,a first basal opacity measurement of the fresh bovine corneas,the corneas were carefully removed from the eyes and mounted in a holder and incubated for at least 1 hour at 32 ± 1 °C,,,,6-8 months old ,,,,0.075,,,,,,,,,,,,10 ± 1,m,32,,32 ± 1 °C,2h,,,dmso in pure water, 50% (w/w) ,"after the post-exposure incubation period, the opacity was measured again. thereafter, permeability of the corneas was determined by measuring spectrophotometrically at 490 nm the transfer of 0.4% (w/v) sodium fluorescein upon incubation for 90 ± 5 minutes at 32 ± 1 °C. ",,2019,yes,"the sccs agrees with the conclusions of the applicant. however, historical data for negative and positive controls are not provided. the ivis score for the negative control is not provided either.",23,,,"positive control: 10% (w/w) NaOH in pure water and negative control: 0.9% (w/v) NaCl in pure water, negative control: mean opacity 0.7 ± 0.6, mean permeability 0.001 ± 0.002, ivis not applicable; vehicle control (50% dmso): mean opacity 0.3 ± 1.0, mean permeability 0.009 ± 0.007, ivis 0.5 ± 1.0;  pc (10% w/w NaOH) mean opacity (± SD; n = 3)140.7 ± 5.8, mean permeability (± SD; n = 3) 5.989 ± 0.217, ivis (± SD; n = 3) 230.5 ± 7.2. all the validation criteria were met",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate (S87),OECD 492,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_227.pdf,spectrophotometry,"slight or moderate residues (light yellowish coloured) remained on the tissues treated with 8 mg or 50 mg test substance after the washing procedure. however, this did not interfere with the MTT assay as the test substance was not able to reduce mtt directly",,,,"50 mg, 8 mg and  3% application, 93.5%, 106.5% and 103.6%  realtive mean cell viability, respectively. ",570,,,,,,,,,c-1701 b_c_3 did not show an eye irritation potential,,,,,,3,"3 dosage groups: neat substance, neat substance and 3 % suspension of test substance in deionized water",99.5,negative,positive,,0009511412,test substance: c-1701 b_c_3 no. 11/0473-5 ,in vitro,,,,,,,,,,epiocular™ human cornea model,,2,,,,,,,tissues pre-wetted with 20µl pbs and incubated for 30-34 mins,,,,,,"50, 8, 3","mg neat substane, mg neat substance, % test substance in vehicle 50 μl volume",0.05,,,,,,0.6,,,,,,6,h,,,,18h,,,deionized water,,"cell viability was measured with the MTT assay. here the medium was replaced by 300 µl of MTT solution. after a 3-hour incubation period, the MTT solution was removed and the tissues were washed with PBS. the formed formazan was extracted by incubation of the tissues in isopropanol at room temperature overnight or for at least 2 hours on a plate shaker. the optical density was determined spectrophotometrically at 570 nm (OD570). ",,2019,yes,the sccs considers that s87 is not irritating to the eye at the use concentration and undiluted.,24,,,"positive control: methyl acetate and negative control: deionised water. application of the negative and positive control showed a relative viability of 21.9%. nc: mean relative vaiability: 100%, inter-tissue variability: 8.8%; pc: mean relative viability: 21.9%, inter-tissue variability: 6.7%. inter-tissue variability at 50mg dosed group: 13.5%; at 8mg : 2.9%, at 3%: 12.3%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethyl-p-phenylenediamine sulfate ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,,,,,,,,,,,,,,,no skin reactions at all were observed at any observation time point.,"no indication of a skin irritating potential of 1-β-hydroxyethyl-2,5-diaminobenzene dihydrochloride tested at a 3 % aqueous solution in a repeated application assay in guinea pigs was noted.",,,,,,3,aqueous dilution thickened with 0.5% tylose,,,,,,"test substance: 1-β-hydroxyethyl-2,5-diaminobenzene dihydrochloride ",in vivo,guinea pig/ strain white pirbright (spf),,,,f,,,,15,,,,,,,,,,,,,,,,,,,"daily, for 5 consecutive days",dermal,,open,"clipped flank region by means of a brush. the skin was not covered, but animals were restrained from movement in order to avoid contact with the treated area during the first 5 hours after application. ",12,,,,5 hours after each application,,,,,,,,,,water,,,,1985,no,"although the experiment was not in compliance with guidelines and performed with the dihydrochloride instead of the sulfate, the data indicates that 1-β-hydroxyethyl-2,5- diaminobenzene dihydrochloride is not irritant to guinea pig skin at concentrations up to 3%. this applies probably also for the sulfate. ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethyl-p-phenylenediamine sulfate ,OECD 405,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_017.pdf,,"iridial irritation (grade 1 on a scale from 1-4) was observed in all animals after 1 and 24 hours. irritation of the conjunctiva was seen as redness, chemosis and discharge, which had completely resolved within 7 days in two animals and within 14 days in one animal. no corneal opacity was observed, and treatment of the eyes with 2% fluorescein revealed no corneal epithelial damage in any of the animals. there was no evidence of ocular corrosion. no staining of peri-ocular tissues by the test item was observed. ",,no,,,,,,,,,,,,"under the conditions of the test, undiluted betoxol was irritant to rabbit eyes.",,,,,,,aqueous paste,99.7,,,,"""j.robinson 10.7.89""",test substance: betoxol,in vivo,rabbit/ albino new zealand white (spf),,,,m,,,,3,,,,,,,,,,,,,,,,60,mg,0.1,,,,,,,,,,"1, 24, 48, and 72 hours as well as 7 and 14 days after application. further readings by means of fluorescein-instillation took place 24 h and 48 h after substance application. ",,,,,,,,,no,water to form paste,,,,1999,yes,,20,,,the right eye served as control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxyethoxyphenyl butanone ,non OECD,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_225.pdf,mtt/elisa,"compared to the negative control, there were no changes in viability rates and IL-1α concentrations following application of HEPB. ",,,,100,,10 pg/mL for HEPB.,,,,,,,,undiluted hepb can be considered as potentially non-irritant to the skin.,,,solid,,,,test item: neat (100% powder) ,95.9,negative,no information provided in the study report ,,r0069279a 019 d 004,test substance: r0069279a,in vitro,,,,,,,,,,EPISKIN reconstructed human epidermis (RHE) small model ,"Skin Ethic Laboratories, 3 tissue batches, slightly wetted ",3,,,,,,,,,,,,,10,mg,0.01,,,,,,0.38,,,,,,15,m,room temperature,,37,42 hour ± 1 hour,fresh medium ,the tissues were rinsed with PBS+ after treatment,,,,,2012,yes,an ecvam validated protocol was used and certificates of analysis with IC50 values (for SDS) for each tissue batch were presented in annex of the study report. barrier function has been checked by determination of the concentration at which SDS reduces the viability of the tissues by 50% and the obtained values fell within the defined acceptance range.,1,,,"positive control: 5% (w/v) aqueous solution of sodium dodecyl sulphate (sds), negative control: pbs+. mean cell viability values obtained for negative and positive controls were 100% and 8.3%. the amounts of IL-1α released were not determined for the positive control. ",guideline: in vitro episkin skin irritation test. post-treatment temprature: °C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
