dossier,OECD guideline,type of study,pdf link,clinical examination,microscopic finding,gross pathology,dose descriptor ,dose descriptor unit,moribund or dead animals prior to study termination ,mortality rate,conclusion,homogeneity and stability,treatment prior to application,pH,solid,solubility in vehicle,liquid,aerosol/dust/vapour,"particle size, shape and density distribution",concentration (% nominal and actual),composition,purity (%),chemical batch nr,additional info,species/strain,source,age value at start of experiment ,"age unit (day, week, month, year)","sex (female, male)",weight,"weight measuring unit (gram, kilogram)",feed,n animals / dose,dose levels,dose level unit ( or extra info),administration scheme,"oral (gavage, drink water, feed)",dermal,body surface area,"patching technique ( open, semi-occluded, occluded)",skin condition and region,"inhalation (nose (head) -only, whole body)",occular,other,dose volume ml/kg bw,rinsing procedure,use of anaesthetics and analgesics,vehicle name,vehicle concentration %,exposure time (hour),observation period (day),SCCS comment to test,year,control groups,GLP,preliminary test,Klimisch score,Ref. in dossier,additional information,own comments
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,"no observable systemic effects in animals treated with 2.5, 5.0, or 10.0 g/kg. two of the four animals dosed with 20 g/kg showed a slight temporary depression.",,,,,no,,these data are in line with a study on zpt alone indicating that its incorporation into a shampoo formulation does not significantly enhance penetration,,,,,,,,,2,shampoo containing,,,test substance: zpt. Product derived data,rabbit,,,,,,,,,"2.5, 5.0, 10.0, 20.0",g/kg,,,yes,,occluded ,,,,,,,,,,24,,,,,,,,"b61, b67",taken from sccnfp/0671/03,
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,,,,36; 500,ld50 mg/kg in rat; mouse,,,,,,,,,,,,,,,,,rat; mouse,,,,,,,,,,,,,,,,,,,intraperitoneal injection,,,,,,,,,,,,,,"b71, b73",taken from sccnfp/0671/03. 2 species.,
zinc pyrithione,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_133.pdf,"generally, 25 mg/kg of zpt was fatal to both dogs and monkeys within 24 hours and produced cholinergic-like effects prior to death. doses of 15 and 20 mg/kg produced slight cholinergic stimulation in dogs but death did not result. one of two yorkshire pigs died when injected intravenously with 20 mg/kg and 10 mg/kg was a lethal dose for rabbits. intravenous doses of 5 mg/kg or less produced only transient effects. ",,,,,,,,,,,,,,,,,,,,,dog; monkey; pig; rabbit,,,,,,,,,,,,,,,,,,,intravenous,,,,,,,,,,,,,,"b2, b7, b72",taken from sccnfp/0671/03. 4 species,
trisodium nitrilotriacetate,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,"750; 1300-->1470, 1600-->2220; >5000 ","ld50 mg/kg bw monkey; female rat, male rat; dog",,,nta has a low acute toxicity by oral route,,,,,,,,,,,,,,monkey; rat; dog,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,1,3 species.,
trisodium nitrilotriacetate,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,> 10,ldlo g/kg,,,nta has a low acute toxicity by dermal route,,,,,,,,,25,aqueous substance solution,,,,rabbit,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,1,,
trisodium nitrilotriacetate,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_046.pdf,,,,>5.0,lc50  mg/l ,,,nta has a low acute toxicity by inhalation route,,,,,,,,,,,,,,rat,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,2,,
vetiveryl acetate ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf & https://ec.europa.eu/health/system/files/2021-08/sccs_o_221_0.pdf,"evidence of toxicity from percutaneous absorption of the test substance was not found. signs of skin irritation were noted during the course of the observation period in the form of slight to moderate erythema and oedema. both signs declined during the post treatment observation period but were still present for slight erythema in one animal at termination on day 7, while oedema was not observed from day 5 onwards.  ",,no abnormalities were noted by gross pathology,>5000,ld50 mg/kg bw,no,,the acute dermal LD50 value was >5000 mg/kg bw in new zealand white rabbits.,,,,,,"yes, brown liquid",,,,neat substance,,,"test substance: labelled ‘rifm # 71-90’, no information on the ester content",rabbit / new zealand white,,,,,,,,10,5000,mg/kg bw,single,,yes,,occluded,,,,,,,,,,24,7,the study could not be evaluated by the sccs as the submitted original report only consisted of two pages in addition to the front page. the composition of the test substance is unknown to the sccs.,1972,,no,,,16,,
vetiveryl acetate ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,the rats showed lethargy and diarrhoea,,no findings from necropsy were reported,>5000,ld50 mg/kg bw,yes,two rats died within the first day after application,the acute oral ld50 value was considered to be >5000 mg/kg bw in male wistar rats. ,,,,,,"yes, brown liquid",,,,neat substance,,"test substance: labelled ""compound no. 71-90""",,rat/wistar,,,,m,,,the rats were fasted for at least 16 hours prior to administration of the substance. ,10,5000,mg/kg bw/d,single,yes,,,,,,,,,,,,,,14,the study could not be evaluated by the sccs as the submitted original report only consisted of one page in addition to the front page. the composition of the test substance is unknown to the sccs. ,1972,,,,,16,,
vetiveryl acetate ,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_167.pdf,"clinical signs of stress initiated between the first two hours after application in all animals. mice dosed at 2.0 recovered within 18 hours, and mice dosed at 5.0 ml/kg bw all recovered within 18 to 72 hours. both mice at the highest dosage group became ataxic after 18 hours, showed laboured breathing after 24 hours. all surviving animals gained weight during the observation period and appeared normal at the autopsy.",,"the autopsy of the animals that died revealed bleaching of the stomach and small intestines, as well as pale/patchy liver with bleaching where in contact with the stomach, and pale kidneys.",5.0-->10.0,≈ ld50 ml/kg bw,yes,"both mice at the highest dosage group died after 42 and 48 hours, respectively. ",the approximate acute ld50 value was between 5.0 and 10.0 ml/kg bw.,,,,,,"yes, clear yellow liquid",,,,undiluted,,,"test substance: vetyvenyl acetate, no information on ester content",mouse,,,,,,,fasted ,"2,6,2","2.0, 5.0, 10.0",ml/kg,,yes,,,,,,,,,,,,,,7,the composition of the test substance is unknown to the sccs. ,,,,,,48,range-finding study,
"toluene-2,5-diamine and its sulfate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_052.pdf,"lethargy, piloerection, ataxia and increased salivation were observed shortly after dosing. at 100 mg/kg increased respiratory rate and above 100 mg/kg decreased respiratory rate were observed.  the acute median lethal oral dose and its 95% confidence limits were calculated to be 102 (69 – 152) mg/kg bw.",,,102,ld50 mg/kg bw,yes,"lethality rate at dose 0, 0 in both sexes, at 64 mg/kg bw 3/5 in males and 0/5 in females; at 100, 4/5 in  males and 3/5 in females; at 160 0 in male and 5/5 in females and at the highest dose of 250, 5/5 in male and 4/5 in female",the acute median lethal oral dose and its 95% confidence limits were calculated to be 102 (69 – 152) mg/kg bw.,,,,,,,,,10,diluted in the vehicle,,,"test substance: toluene-2,5-diamine",rat/cfy strain,,,,f & m,,,,10,"0, 64, 100, 160, 250 ",mg/kg bw,single,yes,,,,,,,,,,,aqueous sodium sulphite,0.05,,14,"despite the lack of data on the batch used and although the study does not conform to OECD guidelines, it is useful for evaluation.",,,no,,,16,,
sodium perborate  and perboric acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,"3250, 3600","ld50 mg/kg bw female, male",,,,,,,,,,,,,,,,test substance: sodium perborate(not specified),mouse,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,,2007,,,,,ecb,,
sodium perborate  and perboric acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,1800,ld50 mg/kg bw ,,,,,,,,,,,,,,,,test substance: sodium perborate monohydrate,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1987,,,,,"interox, 1987a",,
sodium perborate  and perboric acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,2567,ld50 mg/kg bw ,,,,,,,,,,,,,,,,test substance: sodium perborate tetrahydrate,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1987,,,,,degussa ,,
sodium perborate  and perboric acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,100-->500,ld50 mg/kg bw ,,,,,,,,,,,,,,,,"test substance: boric acid, sodium borate, or sodium perborate ",human,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1987,,,,,dreisbach,,
sodium perborate  and perboric acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,2000,ld50 mg/kg bw ,yes,1 male died after 13 days,,,,,,,,,,,,,,test substance: sodium perborate monohydrate ,rabbit,,,,,,,,10,,,,,yes,,,,,,,,,,,,,,,1987,,,,,"interox, 1987b",,
sodium perborate  and perboric acid,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_031.pdf,,,,1164,lc50 mg/m3,,,,,,,,,,,,,,,,test substance: sodium perborate tetrahydrate,rat,,,,,,,,,,,,,,,,,yes,,,,,,,,4h,,,2001,,,,,asta medica,,
hydroxypropyl p-phenylenediamine and its dihydrochloride salt,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_230.pdf,"the clinical signs observed included lethargy, tremor, salivation, lacrimation, chromodacryorrhea and prostration in the high dose group. only mild salivation and lethargy were observed in the mid dose group. ",,lung and liver congestion were noted at necropsy. ,300 --> 1000 ,ld50 mg/kg,yes,"mortality was obsereved in all rats (10/10) treated at 1000mg/kg at day 1,2or 3 post dosing. one death (1/10) was noted at the mild dose level of 300mg/kg/day at day 14 after dosing . ",hydroxypropylp-phenylenediamine and its dihydrochloride salt were considered to be of moderate toxicity following single oral administration.,,,,,,,,,,,,,,rat,,,,,,,,10,"100, 300, 1000 ",mg/kg,single,yes,,,,,,,,,,,,,,14,the 14-day oral repeated dose toxicity study provides evidence that hydroxypropyl pphenylenediamine 2HCl caused mortality at dose levels of 300 and 1000 mg/kg. this study indicates that the ld50 is above 300 mg/kg.,2013,,no,,,mehta,,
picramic acid and sodium picramate,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_042.pdf,"signs of reactions to treatment were observed shortly after dosing, including lethargy, piloerection and orange staining of external extremities. these signs were accompanied within five hours by gasping in six rats treated at 100 mg/kg bw. recovery of survivors, as judged by external appearance and behaviour was apparently complete within five days after treatment. bodyweight gains were within normal limits compared with controls and normal autopsy findings.",,"autopsy revealed discoloration of the liver, pallor of the kidneys and spleen, and orange staining of the inner body wall.",110,ld50 mg/kg bw,yes,death occurred from within one to 19 hours of treatment.,the acute median lethal oral dose (LD50) and its 95% confidence limits to rats of picramic acid were calculated to be 110 (63-176) mg/kg bw.,,,,,,"yes, suspension ",,,10,suspension in the vehicle (aqueous gum tragacanth (0.5%) containing 0.05% sodium sulfite),,,test substance: picramic acid,rat/cfy,,,,f & m,95 --> 120,g,starved overnight before treatment,10,"0, 100, 160, 250, 400, 640",ml/kg bw,,yes,,,,,,,,1.0 --> 6.4 ,,,"aqueous gum tragacanth containing (,) sodium sulfite","0.5, 0.05",,14,,1976,rats treated with the vehicle alone (6.4 ml/kg bw) served as controls,no,"the results of preliminary range finding tests indicated that the median lethal oral dose  (ld50), was in the region of 100 to 400 mg/kg bw. ",,15,,
phenylene bis-diphenyltriazine,non OECD,in vivo ,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_215.pdf,no overt signs of toxicity were observed under these study conditions.,,,,,,,,,,,,,,aerosol ,,,,,,test substance: cosmetic ingredient s02771,rat,,,,f & m,,,,2,2.0,"mg of the suspension, corresponding to about 0.92 mg of the ground active substance per litre of aerosol)",,,,,,,"yes, nose-only",,,,,,,,"1, 2, 4",14,the study results suggest low acute inhalation toxicity of the test item.,,no control group was reported,no,,,85 (subm. 1),"taken from sccs/1556/15. for a more detailed description of the study, see repeat dose toxicity study ",
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,671,ld50 mg/kg bw/d,,,,,,,,,,,,,,,,test substance: p-aminophenol (pap),rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1977,,,,,ref. c26 (llyod),,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,1271,ld50 mg/kg bw/d,,,,,,,,,,,,,,,,test substance: p-aminophenol (pap),rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1977,,,,,ref. c26 (llyod),,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,375,ld50 mg/kg bw/d,,,,,,,,,,,,,,,,test substance: p-aminophenol (pap),rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1975,,,,,ref. c23 (ind. bio-test lab. inc),,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,1550,ld50 mg/kg bw/d,,,,,,,,,,,,,,,,test substance: p-aminophenol (pap),mouse,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,1977,,,,,ref. c43 (segré),,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,"393, 1139","ld50 mg/kg bw/d male, female",,,,,,,,,,,,,,,,test substance: p-aminophenol (pap),rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,a2,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,4-->10,ld50 g/kg bw,,,,,,,,,,,,,,,,test substance: p-aminophenol (pap),rabbit,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,a2,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,methaemoglobin concentration was less than 10% of the total haemoglobin concentration. ,,,0.5,ld50 g/kg bw,yes,reported within 48h of compound administration,,,,,,,"yes, suspension ",,,5,,,,test substance: p-aminophenol (pap),rat/ albino ,,,,,,,,,,,,yes,,,,,,,,,,,starch solution,3,,,,,,,,,a1,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,37,ld50 mg/kg bw/d,,,,,,,,,,,,,,,,,cat,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,c29,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,470,ld50 mg/kg bw,,,,,,,,,,,,,,,,,mouse,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,a2,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,10000,ld50 mg/kg bw,,,,,,,,,,,,,,,,,rabbit,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,c23,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,>8000,ld50 mg/kg bw,,,,,,,,,,,,,,,,,rabbit,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,a2,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,>5000,ld50 mg/kg bw,,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,a2,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,>0.005,lc50 mg/l,,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,,,,,,yes,,,,,,,,1,,,,,,,,c23,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,>5.91,lc50 mg/l,,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,,,,,,yes,,,,,,,,1.3,,,,,,,,a2,,
p-aminophenol,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,,,,>3.42,lc50 mg/l,,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,,,,,,yes,,,,,,,,4,,,,,,,,a2,,
n-methyl-2-pyrrolidone (NMP),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,4150,ld50 mg/kg bw (3100-5560),,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,"nmp has low acute toxicity by oral, dermal, and inhalation routes.",,,,,3,,
n-methyl-2-pyrrolidone (NMP),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,3906,ld50 mg/kg bw (3100-4400),,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,"nmp has low acute toxicity by oral, dermal, and inhalation routes.",,,,,4,,
n-methyl-2-pyrrolidone (NMP),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,7710,ld50 mg/kg bw (5900-9600),,,,,,,,,,,,,,,,,mouse,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,"nmp has low acute toxicity by oral, dermal, and inhalation routes.",,,,,4,,
n-methyl-2-pyrrolidone (NMP),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,2500-->5000,ld50 mg/kg bw,,,,,,,,,,,,,,,,,rat,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,"nmp has low acute toxicity by oral, dermal, and inhalation routes.",,,,,5,,
n-methyl-2-pyrrolidone (NMP),non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,,,,5.1,lc50 mg/l,,,,,,,,,,,87% of aerosol particles< 8.5 µm,,,,,,rat,,,,,,,,,,,,,,,,,"yes, head only",,,,,,,,4,,,"nmp has low acute toxicity by oral, dermal, and inhalation routes.",,,,,iuclid dataset (19.02.00),,
hc yellow n° 4,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,signs of reaction to treatment were not recorded.,,,"1250-->5000, 1250-->2500 ","ld50 mg/kg bw males, females",,,"the results of this study indicated that the median lethal oral dose (ld50), was in the region of 1250 to 5000 mg/kg bw in the male rats and in the region of 1250 and 2500 mg/kg bw in females. dosing was then extended to larger groups of rats (five males and five females) in order to set the median lethal dose more precisely. signs of reaction to treatment were not recorded.",,,,,,yes,,,10,test substance suspension in the vehicle,,,,rat/sprague-dawley,,,,f &m,190 -240 ,g,,5,"1250, 5000; 1250, 2500, 5000",mg/kg bw in males; in females,,yes,,,,,,,,,,,acacia in water,3,,14,the experiment did not conform to a guideline and the experimental description is incomplete. ,1987,,no,,,3,25 animals in total (2 groups of 5 males and 3 groups of 5 females),
hc yellow n° 4,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_008.pdf,"at high dose: signs of piloerection, soiled coat, reduced activity, ataxia, subdued behaviour, prostration, hunched appearance and laboured breathing were observed for all animals in day of dosing. most of these signs were also observed in the 2 surviving rats at day 5 after dosing. yellow colorations of urines and extremities were observed in all animals after dosing. these colorations were also observed in surviving rats after the end of the 14 days observation period. at 500mg/kg bw: signs of piloerection, reduced activity and hunched appearance were observed for all animals from the day of dosing until 5 days after dosing. yellow colorations of urines and extremities were observed in all animals after dosing. these colorations were also observed after the end of the 14 days observation period. no other effects were observed at this dose.",,"at high dose: yellow colorations of stomach, intestines, skin, coat and tail were observed.",>500,ld50 mg/kg bw ,yes,the dose of 2000 mg/kg bw produced mortality in 4 male and 4 female rats.  the dose of 500 mg/kg bw produced no mortality in male and female rats,"under the conditions of the study, hc yellow n°4 is considered as having acute oral toxicity above 500 mg/kg/bw.",,,,,,yes,,,,suspension in vehicle,,930700805,,rat/sprague-dawley,,,,f &m,127 - 186 ,g,starved overnight before treatment,10,"2000, 500",mg/kg bw,,yes,,,,,,,,10,,,aqueous carboxymethylcellulose,0.5,,14,,1994,,yes,,,4,"guideline: acute oral toxicity test (fixed dose procedure) ec directive 84/449/eec annex 5, test b1. number of animals: 20 (2 groups of 5 males and 5 females) ",
hydroxyethyl-2-nitro-p-toluidine,non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_061.pdf,hydroxyethyl-2-nitro-p-toluidine caused reduced activity and orange coloration of the urine and extremities. both effects had disappeared after 24 h. no overt signs of toxicity were observed in survivors. body weight increased at all doses. ,,no post-mortem changes were noted. ,"1564, 1436; 1600, 1750 ","ld50 mg/kg bw in rat male, female; mouse male, female",yes,"mortalities occurred within 24h of administering the test substance. rat  at dose mg/kg bw 900: male 2/6, female 1/6; at dose 1700: male 3/6, female 3/6; at dose 2500: male 6/6, female 6/6. mouse at dose mg/kg bw 1000: male 2/10, female 0/10; at dose 1500: male 4/10, female 4/10; at dose 2000: male 7/10, female 6/10; at dose 2500: male 10/10, female 10/10. ","though this study does not follow guideline 401, (1981), the results indicate that the acute oral toxicity of hydroxyethyl-2-nitro-p-toluidine is low",,,,,,,,,,,99.6,bra1/285,test substance: hydroxyethyl-2-nitro-p-toluidine,rat/ wistar; mouse/cf1,,,,f &m,,,,12; 20,"900, 1700, 2500; 1000, 1500, 2000, 2500",mg/kg bw in rats; in mice,single,yes,,,,,,,,,,,gum arabic solution,10,,14,,1985,,no,the dose range was determined by a preliminary mouse study that indicated a median lethal dose between 1000 and 2000 mg/kg bw. ,,"13, submission 3","2 species used. the protocol did not follow oecd guideline 401, but is described as ‘in analogy to appraisal of the safety of chemicals in foods, drugs and cosmetics’. a quality assurance statement, dated 12 September 1991, was included. ",
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,≈ 3000,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,154,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,≈ 2700,ld50mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,rat,,,,m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,105,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,2980,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,rat,,,,m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,150,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"2600, 2850 ","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: opp,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,278,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"2850, 3600","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: op,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,98,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,2733,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,77,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,≈ 2000,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,mouse,,,,,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,313,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"≈ 1200,  1050","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: opp,mouse,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,275,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"3499, 3152","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: opp,mouse,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,280,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,≈ 500,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: opp,cat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,154,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,1250,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: sopp,rat,,,,,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,85,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,"1650, 1550","ld50 mg/kg bw in male, female",,,,,,,,,,,,,,,,test substance: sopp,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,276,,
"o-phenylphenol, sodium o-phenylphenate and potassium o-phenylphenate",non OECD,in vivo ,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_177.pdf,,,,1096,ld50 mg/kg bw,,,,,,,,,,,,,,,,test substance: sopp,rat,,,,f & m,,,,,,,,yes,,,,,,,,,,,,,,,the acute oral toxicity of opp and popp is low and acute oral toxicity of sopp is moderate.,,,,,,279,,
