dossier,guideline,PDF link,type,clinical observations,functional observations,other,haematology,"urinalysis ""Urinalysis""[Mesh]",blood and serum biomarkers,gross pathology,histopathology,critical effect,point of departure (pod),description of pod ,target organ,moribund or dead animals prior to study termination,mortality rate,conclusion,homogeneity and stability ,treatment prior to application,pH and adjustment,"physical form (solid, liquid, aerosol, dust)",concentration (%),composition,purity (%),particle size and procedure,solubility in vehicle,chemical batch nr,additional info,species/strain,source,"age at start of experiment (days, weeks, months, years)","age  unit (day, week, month, year)","sex (female, male)",feed,weight,"weight unit (gram, kilogram)",n animals / group,dose levels,dose level unit (or extra info),dose volume ml/kg bw,administration scheme,"oral ( gavage, diet, water, intubation, other)",dermal,"patching technique (open, semi-occluded, occluded)",body surface (cm2 or %),skin condition,area of body,"inhalation ( nose head - only, whole body)",other,rinsing,vehicle name ,vehicle concentration %,sampling ,observation period day ,exposure period + recovery period days,year,GLP,SCCS comment to test,Ref. in dossier,preliminary test ,control group + satellite group,klimisch score,additional information,own comments
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,,,,,,,,,,,,,no,,"there was no effect on any of the parameters investigated, including testes or epididymides",,,,,,,,,,,test substance : bmhca,mouse,,,,m,,,,5,"0, 100",mg/kg bw/day,5,once daily,yes,,,,,,,,,rape oil,,,,5,,no,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","givaudan, 1990b, rifm#12139",,,,"guideline/method: explorative oral and toxicokinetics study. method: the animals were observed for mortality, clinical signs, and body weight changes. at termination the animals were sacrificed and following a gross necropsy, testes and epididymides were examined by histopathology. ",
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,"no test substance related findings on clinical observations, body weights and food consumption were observed in all dosing groups. ",,,,,,,"a diffuse degeneration of the seminiferous tubules combined with a moderate oligospermia and a moderate mixed inflammation in the epididymides was observed in 1/5 animals of the low dose group (30 mg/kg bw/day). in the mid-dose group, reduced testes and epididymides sizes with severe diffuse degeneration of seminiferous tubules and severe atrophy plus aspermia in the left epididymides was observed in 1/5 animals. a dose response relationship could not be observed. ",,,,,no,,,,,,,,,,,,,test substance : bmhca,rabbit/ himalayan,,,,m,,,,5,"0, 30, 100, 300",mg/kg bw/day,10,,yes,,,,,,,,,water and tween80,,,,15,,no,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","basf se, 2008a, rifm#55472",,,,"parameters observed: mortality, clinical signs, behaviour, morbidity, body weights. a gross necropsy was conducted with special attention of the reproductive system. ",
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,retardation of body weight gain or body weight loss together with decreases in food efficiency were observed in combination with vomitus and soft faeces/diarrhoea in all animals at ≥200 mg/kg bw/day. a range of clinical parameters were altered in highly dosed animals.,,,,,,"liver weight increases between 30-40% above control values, and centrilobular hypertrophy of hepatocytes were observed at ≥200 mg/kg bw/day. ",massive diffuse degeneration of seminiferous tubules combined with hyperplasia of Leydig cells in testes and aspermia and epithelial vacuolation in the epididymides was found in one dog in the mid-dose group. ,,,,,no,,,,,,,,,99.1,,,00036077l0,test substance : bmhca,dog /beagle,,,,m,,,,4,"0, 40, 200, 1000",mg/kg bw/day,5,once daily,yes,,,,,,,,,gelatine capsules,,,,2w,2007,yes,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","basf se, 2008c, rifm#55474",,,,"guideline/method: explorative oral screening study. method: this study was intended to clarify whether testicular toxicity after oral administration of bmhca occurs in a non-rodent species. due to vomitus and diarrhoea at 1000 mg/kg bw/day, the dose was lowered to 500 mg/kg bw/day, starting on study day 3. parameters: food consumption, clinical examinations; clinical chemistry and haematology, urinalyses. all animals were subjected to a gross pathology and histopathology. ",
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,"bmhca led to decreased body weight gain including severe body weight loss, organ weight changes in the liver and the male-reproductive organs (testes, prostate)",,,,,"bmhca induced anaemia, increased values of urea and creatinine","organ weight changes in the liver and the male-reproductive organs (testes, prostate).",,organ weights of testes and prostate were decreased and histomorphological correlates were noted; altered sperm quality and reduced sperm motility were noted. ,,,male reproductive organs:,no,,,,,,,,,,,,,test substance : bmhca,dog / beagle,,,,m,,,,10,"0, 200",mg/kg bw/day,,,,,,,,,,,,,,,,2w,,,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","basf se, 2008b, rifm#55473",,,,follow-up study with additional examinations prior and during the test substance administration period was performed. ,
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,no effects on body weights or histopathological alterations in the testis were noted.,,,,,,minimal inflammatory reaction was found in one epididymis of one animal and small hollow spaces in the epithelium of one epididymis of the other. the testes of both animals were found free of lesions,,,,,,no,,general and testicular toxicity was not observed under the conditions of this study. ,,,,,,,,,,,test substance : bmhca suspended in fluid baby food,monkey rhesus / macaca mulatta,,,,m,,,,2,"0, 100",mg/kg bw/day,,once daily ,yes,,,,,,,,,food,,,,5d,,no,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","rifm, 1990c, rim#12141",,,,"guideline/method: explorative oral screening study. method: the animals were observed for mortality, clinical signs, and body weight changes. animals were sacrificed and subjected to a complete necropsy. all organs and tissues were examined grossly and testes and epididymides were examined by histopathology.",
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,"slight decrease in body weights and marked testicular atrophy were noted at 2000 mg/kg bw/day. some effects on seminiferous tubules, decreases of the number of germ cells, and increases of the number of degenerating germ cells (including giant cells) were observed in combination with degenerating germ cells in epididymides and the occurrence of spermatocele at the highest dose tested.",,,,,,no clinical signs or substance-related necropsy findings were observed. no further observations were performed in this study to assess adverse effects other than testicular toxicity. ,,,,,,no,,,,,,,,,99.1,,,,test substance : bmhca,rat,,,,m,,,,5,"0, 250, 500, 1000, 2000",mg/kg bw/day,,once daily,,yes,occluded,,,,,,,,,,,5d,,no,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","givaudan, 1991, rifm#16176; us epa (tscat), 1991a, rifm#53120",,,,"guideline/method: explorative comparative oral/dermal study. method: the animals were observed for mortality, clinical signs, and body weight changes. at termination the animals were sacrificed and following a gross necropsy, testes and epididymides were examined by histopathology. ",
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,,,,,,"treatment-related effects again included the decrease of plasma cholesterol, cholinesterase and acetylcholinesterase levels. ",,,,,,,no,,,,,,,,,97.4,,,,test substance: bmhca,"rats /albino, fü spf",,,,f & m,,,,40,"0, 50",mg/kg bw/day,,7 days/week,,,,,,,,,,rape oil,,,,24 or 52d,,,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","givaudan, 1990f, rifm#12145",,,,follow-up study,
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_189.pdf,in vivo,"the study revealed occasional vomiting in both animals, diarrhoea in one animal and body weight reduction together with an increase in glutamate dehydrogenase and alanine aminotransferase levels",,,,, increase in glutamate dehydrogenase and alanine aminotransferase levels with body weight reduction  in one animal ,,"Histological examinations showed multifocal inflammation in the liver and mild atrophy in seminiferous tubules (necrosis of germ cells, multinucleated giant cells in tubular lumen).",,,,,,,,,,,,,,,,,,test substance: BMHCA,dogs,,,,m,,,,2,47 up to 564,"mg/kg bw/day (50 μl/kg bw/day from day 1 to 7, 100 μl/kg bw/day from day 8 to 14, 200 μl/kg bw/day from day 15 to 21, 400 μl/kg bw/day from day 22 to 50 and 600 μl/kg bw/day from day 51 to 64)",,,yes,,,,,,,,,,,,,,,,"sccs conclusion on subacute and subchronic dose toxicity: the toxicity of bmhca after repeated application was investigated in several species. decreases in body weights and food consumption and/or clinical signs of toxicity were observed after subacute oral administration of bmhca at doses of ≥50 mg/kg bw/day (rats) and ≥200 mg/kg bw/day (dogs). irrespective of the length of treatment period, in oral studies rats were found more sensitive than dogs to this compound. clinical chemistry and histopathological examinations repeatedly revealed adverse effects on the liver and male reproductive system (testicular toxicity; cf. 3.3.8.). decreases in plasma cholinesterase activity levels in both sexes of rats were observed after oral exposure to ≥25 mg/kg bw/day for 90 days. in addition, effects on adrenal glands in females were also observed at the same dose levels. from this most meaningful oral study, with respect to the doses administered, a noael of 5 mg/kg bw/day can be derived for systemic effects. no the other hand, dermal administration in rats for 5 days led to adverse effects (including testicular toxicity) only at excessive dose levels (2000 mg/kg bw/day). no 90-day studies on dermal or inhalative administration were available. ","givaudan, 1990h, rifm#12146",,,,an explorative dose escalation study,
butylphenyl methylpropional (p-bmhca) ,non OECD,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_213.pdf,in vivo,,,,,,,,,,,,,,, confirmed the known potential of p-bmhca,,,,,,,,,,,,rat,,,,,,,,,50-250 ,mg/kg bw/d,,,yes,,,,,,,,,,,,,5 to 14 d,,,,"BASF SE, 2011b, SMI: 15, #59014 and Givaudan, 2009, SMI: 60, #57411",,,,,
methylimidazoliumpropyl p-phenylenediamine HCl ,non OECD,https://ec.europa.eu/health/sites/health/files/scientific_committees/consumer_safety/docs/sccs_o_231.pdf,in vivo,"Some changes were observed in mean body weight gain of rats belonging to group G5 and in food consumption of female rats from groups G2, G3, G4 and G5 when compared to the G1 rats. These changes were limited, not dose related in female and therefore of uncertain biological significance.",,,No treatment-related alterations were observed in haematology of R0027494A treated groups when compared with the control group,No treatment-related alterations were observed in clinical chemistry parameters of R0027494A treated groups when compared with the control group,No treatment-related alterations were observed in clinical chemistry parameters of R0027494A treated groups when compared with the control group. No treatment related change in polychromatic to total erythrocytes ratio (P/E) was observed in all the R0027494A treated groups as compared to control group,No external and internal gross lesions were observed across all the groups.,No treatment related microscopic changes were observed in rats treated with R0027494A at 1000 mg/kg b.wt./day.,,,,,no,,"Based on the results of the study, it is concluded that, with the exception of a slight decrease in body weight gain at the highest dose in males and a non dose-related decrease in body weight gain at all doses in females with a decreased food consumption in the two highest dosed groups, R0027494A did not produce any adverse effect up to the dose level of 1000 mg/kg b.wt./day when administrated through oral gavage for 14 consecutive days in Wistar rats under the conditions and the procedures followed in the present study. Consequently, the dose level of 1000 mg/kg b.wt./day can be selected as the highest dose to be tested for further repeated toxicity study.",,,,,,the dose formulations were prepared by dissolving the test item in distilled water,99.9,,,008 l 002 ,"test substance: r0027494a, methylimidazoliumpropyl p-phenylenediamine, Cl, 2HCl (A166)",rat/wistar,,,,f & m,,,,10,"0, 30, 100, 300, 1000",mg/kg bw,10,once daily,yes,,,,,,,,,distilled water,,,,14,2013,yes,"the study was performed as a range-finder for an oral 90 d repeat-dose toxicity study. the results of this study support a low acute toxicity of methylimidazoliumpropyl pphenylenediamine, Cl, 2HCl (a166). ",jawane d (2013),,a concurrent control group of rats was given distilled water only ,,,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,,,,,,,,,,,,,no,,no compound-related toxicity was observed,,,,,,,,,,,test substance: p-aminophenol$,rat/wistar ,,,,,,,,,55,mg/kg bw/day,,daily ,yes,,,,,,,,,,,,,13d,,no,,a2,,,,,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,,,,,,,,,,,,,no,,"no death, clinical signs, or histopathological findings could be attributed to compound administration",,,,,,,,,,,test substance: p-aminophenol$,rat/wistar,,,,f & m,,,,,20,mg/kg bw/day,,daily ,yes,,,,,,,,,carboxymethylcellulose,1,,,12w,,no,,c18,,control group received a 1% carboxymethylcellulose solution only,,,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,"at 467 mg/kg bw, both sexes were observed to have reduced body weight gain and food consumption. ",,,"female rats had significantly lower haemoglobin and erythrocyte counts and increased corpuscular haemoglobin levels, but these changes were without clinical significance",,,"increased relative liver, kidney, and brain weights in both sexes and increased relative pituitary and thyroid weights in females were attributed to compound administration.","nephrosis was observed in all groups, including controls, but the incidence and severity of this change increased in a dose-dependent fashion",,,,,no,,,,,,,,,,,,,test substance: p-aminophenol$,rat/sprague-dawley,,,,f & m,,,,,"0, 47, 133, 467 ",mg/kg bw/day,,daily ,yes,,,,,,,,,,,,,13w,,no,,a2,,,,,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,significant decrease in body weight gain was observed at 467 mg/kg bw/day as in the three month study; the males that had been allowed a reversibility period also had decreased body weight gain,,there were no significant clinical pathology changes.,,,,"increased relative liver, kidney, and brain weights were attributed to compound administration; these changes were not observed in rats allowed a reversibility period","nephrosis, characterized by eosinophilic droplets in renal tubules, was diagnosed in both sexes at 467 mg/kg bw/day (including recovery males). the severity of this finding was dose-dependent",,,,,no,,,,,,,,,,,,,test substance: p-aminophenol,rat/sprague-dawley,,,,f & m,,,,,"0, 47, 133, 467",mg/kg bw/day,,daily,yes,,,,,,,,,,,,,168 + 140,,no,,a2,,"to evaluate reversibility, 20 additional male rats were administered the dose of 467 mg/kg bw/day over a 20 week period and then observed for 7 weeks without treatment",,,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,,,,,,,,,,,,,no,,"no compound-related findings were observed. scattered variations in clinical pathology parameters were observed, but none were considered to be of toxicological significance",,,,,"0.04, 0.2, 1.0",hair dye formulation containing p-aminophenol mixed with 6% hydrogen peroxide,,,,,test substance: p-aminophenol,rabbit,,,,,,,,,,,,twice weekly for 13 weeks,,yes,,,healthy clipped skin,,,,,,,,,13w,,no,,c7,,"rabbits in three independent control groups were clipped as were treated animals, but no dyes were applied.",,,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,,,,,,,,,,,,,no,,no compound-related histopathological effects were observed,,,,,0.087,,,,,,test substance: p-aminophenol,rat/sprague-dawley,,,,,,,,12,43.5,≈ mg/kg bw ,,,yes,,,,,,,,,corn oil ,,,,9m,,no,,c30,,,,Taken from SCCP/0867/05,
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,,,,,,,,,,,,,no,,,,,,,,three oxidative formulations of p-aminophenol,,,,,test substance: p-aminophenol,mouse/swiss webster,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,no,,c8,,,,"Taken from SCCP/0867/05, see section carcinogenicity, chronic toxicity study",
p-aminophenol,non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_078.pdf,in vivo,,,,,,,,,,,,,no,,no compound-related dermal toxicity was observed,,,,,,,,,,,test substance: p-aminophenol,rat/charles river cd,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,no,,a1,,,,"Taken from SCCP/0867/05, multi-generation reproduction study, see section reproductive toxicology",
n-methyl-2-pyrrolidone (NMP),non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,in vivo,"in males, a dose-dependent decrease was observed in body weight at 1028 and 2060 mg/kg bw/day (11% and 16%, respectively). in both sexes, a dose-dependent decrease in body weight gain were observed at 1028 and 2060 mg/kg bw/day. symptoms of general toxicity, such as tremor, restlessness, ruffled fur, and defensive reactions, were registered. ",,,,,in both sexes lymphocyte count decreased following exposure to 1028 and 2060 mg/kg bw/day,"a decrease in relative and absolute testes weight was observed in nine male animals at 2060 mg/kg bw/day. in both sexes, a dose-dependent increase in relative liver and kidney weights was observed at 1028 and 2060 mg/kg bw/day, ",the histological examination in males showed adverse effects on seminiferous tubule epithelium and formation of multinucleate giant cells and clumping of sloughed-off cells.,"body weight decreased, lymphocyte count decreased",514,noael mg /kg bw ,"general toxicity, testes, liver, kidney, ",no,,,,,,,,,,,,,,rat,,,,f & m,,,,20,"0, 257, 514, 1028, 2060 ",mg/kg bw/day,,5 days/week ,yes,,,,,,,,,,,,,28,,no,"no dermal exposure data were found. a dose-dependant yellow coloration of urine was generally reported in rodents, whatever the route of administration. although the urine discolouration was compound-related, it was not associated to changes in kidneys. it was probably due to the presence of a metabolite of NMP and reflected body impregnation. a noael of 169 mg/kg bw/day in male rats was found in a 90-day study based on body weight effects and changes in three neurobehavioral parameters. the noael was 277 mg/kg bw/day in mice based on the liver responses in a 90-day study and 89 mg/kg bw/day in male mice in a 2-year study based on increased liver weighs and 173 mg/kg bw/day based on liver tumours (see carcinogenicity) a noael of 250 mg/kg bw/day (highest dose tested) was found in a 90-day study with dogs. after inhalation, the noael was 500 mg NMP/m3 for both male and female rats.",22,,,,,
n-methyl-2-pyrrolidone (NMP),non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,in vivo,"lower body weights and body weight gains were noted at ≥ 1234 mg/kg bw/day in males and at 2268 mg/kg bw/day in females. in males, the body weight gains over test days 0-28 were by 40 and 72 % less than controls at 1234 and 2019 mg/kg bw/day, respectively. in females, it was reduced by 52 % at the high dose. these decreases were correlated with lower food consumption. slight, but non-significant lower cumulative weight gain was observed in males at 429 mg/kg bw/day and in females at 1548 mg/kg bw/day  . ",,,moderate leucopoenia was observed at the highest dose in males and females. It was judged secondary to nutritional and body weight effects. ,,several serum parameters were mildly affected: decreases in glucose (≥ 1234 mg/kg bw/day) and alkaline phosphatase activity (alp) (2019 mg/kg bw/day) in males; minimal decreases in total proteins and albumin and mild increase in cholesterol in males and females at the highest dose.,in males the weight of testes was also altered (not detailed),"histopathological alterations (hypo-cellular bone marrow in males and females, testicular degeneration and atrophy in males, and thymus atrophy in females) was observed at the highest dose in males and females. it was judged secondary to nutritional and body weight effects. centrilobular hepatocellular hypertrophy occurred in males and females at the two highest doses (0/5 males or females in the control and the two lowest doses; 5/5 and 4/5 males at 1234 and 2019 mg/kg bw/day, respectively; 3/5 and 5/5 females at 1548 and 2268 mg/kg bw/day, respectively). it was considered an adaptative response. males showed degeneration and/or atrophy of the testicular seminiferous tubules (0/5, 0/5, 0/5, 1/5, and 5/5, at 0, 149, 429, 1234, and 2019 mg/kg bw/day, respectively).",general toxicity ,429; 1548,noaelmg/kg bw/day (6000 ppm) for males; mg/kg bw/day (18000 ppm) for females.,,no,,"the authors concluded that, rather than specific organ toxicity, a general systemic response seemed to occur. ",,,,,,,99.9,,,,,rat/orl:cd.br,,,,f & m,,,,10,"0, 2000, 6000, 18000, 30000","mg nmp/kg diet. the mean daily nmp doses were 0, 149, 429, 1234, and 2019 mg/kg bw/day in males and 0, 161, 493, 1548, and 2268 mg/kg bw/day in females. ",,,yes,,,,,,,,,,,,,28,,no,"no dermal exposure data were found. a dose-dependant yellow coloration of urine was generally reported in rodents, whatever the route of administration. although the urine discolouration was compound-related, it was not associated to changes in kidneys. it was probably due to the presence of a metabolite of NMP and reflected body impregnation. a noael of 169 mg/kg bw/day in male rats was found in a 90-day study based on body weight effects and changes in three neurobehavioral parameters. the noael was 277 mg/kg bw/day in mice based on the liver responses in a 90-day study and 89 mg/kg bw/day in male mice in a 2-year study based on increased liver weighs and 173 mg/kg bw/day based on liver tumours (see carcinogenicity) a noael of 250 mg/kg bw/day (highest dose tested) was found in a 90-day study with dogs. after inhalation, the noael was 500 mg NMP/m3 for both male and female rats.",23,,,,,
n-methyl-2-pyrrolidone (NMP),non OECD,https://ec.europa.eu/health/scientific_committees/consumer_safety/docs/sccs_o_050.pdf,in vivo,"morphological examination revealed pathological changes, consistent with the renal effects observed in the surviving animals. there was no effect on body weight or food consumption, or changes in haematological parameters at any doses, in either males or females. ",,,,,"except from a lower serum alp in females at 4060 mg/kg bw/day, there were no changes in the clinical chemistry parameters",,cloudy swelling of the epithelia of the distal parts of the renal tubuli was observed in 4 males and 3 females at 10 000 mg/kg and in 2 males at 7500 mg/kg.,histopathology of kidneys,720; 2970,"noael mg/kg bw/day (2500 mg/kg) in males;  mg/kg bw/day (7500 mg/kg) in females, based on the kidney histopathology",kidney,yes,death of one male in the 2670 mg/kg bw/day group was considered treatment-related,,,,,,,,99.9,,,,,mouse/b6c3f1/crlbr,,,,f & m,,,,10,"0, 500, 2500, 7500, 10000 ","mg nmp/kg diet. the mean daily nmp dose was 0, 130, 720, 2130, and 2670 mg/kg bw/day in males and 0, 180, 920, 2970, and 4060 mg/kg bw/day in females. ",,,yes,,,,,,,,,,,,,28,,no,"no dermal exposure data were found. a dose-dependant yellow coloration of urine was generally reported in rodents, whatever the route of administration. although the urine discolouration was compound-related, it was not associated to changes in kidneys. it was probably due to the presence of a metabolite of NMP and reflected body impregnation. a noael of 169 mg/kg bw/day in male rats was found in a 90-day study based on body weight effects and changes in three neurobehavioral parameters. the noael was 277 mg/kg bw/day in mice based on the liver responses in a 90-day study and 89 mg/kg bw/day in male mice in a 2-year study based on increased liver weighs and 173 mg/kg bw/day based on liver tumours (see carcinogenicity) a noael of 250 mg/kg bw/day (highest dose tested) was found in a 90-day study with dogs. after inhalation, the noael was 500 mg NMP/m3 for both male and female rats.",23,,,,,
